coding_id,stratum,block_uid,collection,year,issue,pub_date,rubric,domain,folio_page,source_url,n_events_extracted,events_correct,events_wrong,events_missed,block_relational,coder,notes
G0023,2008|annonces-legales|SRL,annonces-legales/fr/2008/044:2008Z00176SRLB1,annonces-legales,2008,044,2008-05-30,SRLB1,corporate,2835,https://jort.tn/view/annonces-legales/fr/2008/044,2,1,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0024,2008|annonces-legales|SRL,annonces-legales/fr/2008/045:2008T03209SRLB1,annonces-legales,2008,045,2008-06-03,SRLB1,corporate,2910,https://jort.tn/view/annonces-legales/fr/2008/045,2,1,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0025,2008|annonces-legales|SRL,annonces-legales/fr/2008/046:2008G02846SRLB2,annonces-legales,2008,046,2008-06-06,SRLB2,corporate,3013,https://jort.tn/view/annonces-legales/fr/2008/046,0,0,0,1,yes,claude-opus-5 (self-audit; see LIMITATIONS),MISS: renewal of the manager's mandate (Samir Ben Slim) not produced
G0026,2008|annonces-legales|SRL,annonces-legales/fr/2008/048:2008G02996SRLB1,annonces-legales,2008,048,2008-06-13,SRLB1,corporate,3147,https://jort.tn/view/annonces-legales/fr/2008/048,2,1,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0027,2008|annonces-legales|SRL,annonces-legales/fr/2008/049:2008A00533SRLB1,annonces-legales,2008,049,2008-06-17,SRLB1,corporate,3259,https://jort.tn/view/annonces-legales/fr/2008/049,2,1,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0028,2008|annonces-legales|SRL,annonces-legales/fr/2008/050:2008E00262SRLB1,annonces-legales,2008,050,2008-06-20,SRLB1,corporate,3325,https://jort.tn/view/annonces-legales/fr/2008/050,1,0,0,0,no,claude-opus-5 (self-audit; see LIMITATIONS),
G0029,2008|annonces-legales|SRL,annonces-legales/fr/2008/052:2008A00550SRLB1,annonces-legales,2008,052,2008-06-27,SRLB1,corporate,3442,https://jort.tn/view/annonces-legales/fr/2008/052,2,1,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0030,2008|annonces-legales|SRL,annonces-legales/fr/2008/055:2008G03444SRLB2,annonces-legales,2008,055,2008-07-04,SRLB2,corporate,3620,https://jort.tn/view/annonces-legales/fr/2008/055,2,2,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0031,2008|annonces-legales|SRL,annonces-legales/fr/2008/059:2008B00682SRLB2,annonces-legales,2008,059,2008-07-14,SRLB2,corporate,3827,https://jort.tn/view/annonces-legales/fr/2008/059,1,0,0,0,no,claude-opus-5 (self-audit; see LIMITATIONS),
G0032,2008|annonces-legales|SRL,annonces-legales/fr/2008/059:2008P00127SRLB1,annonces-legales,2008,059,2008-07-14,SRLB1,corporate,3809,https://jort.tn/view/annonces-legales/fr/2008/059,3,2,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0033,2008|annonces-legales|SRL,annonces-legales/fr/2008/059:2008R02410SRLB2,annonces-legales,2008,059,2008-07-14,SRLB2,corporate,3819,https://jort.tn/view/annonces-legales/fr/2008/059,1,1,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0034,2008|annonces-legales|SRL,annonces-legales/fr/2008/064:2008T04447SRLB1,annonces-legales,2008,064,2008-07-25,SRLB1,corporate,4019,https://jort.tn/view/annonces-legales/fr/2008/064,1,0,0,0,no,claude-opus-5 (self-audit; see LIMITATIONS),
G0035,2008|annonces-legales|SRL,annonces-legales/fr/2008/085:2008B00799SRLB2,annonces-legales,2008,085,2008-08-27,SRLB2,corporate,4645,https://jort.tn/view/annonces-legales/fr/2008/085,0,0,0,1,yes,claude-opus-5 (self-audit; see LIMITATIONS),MISS: share transfer Khaled Krida -> Mohamed Krida; the cue fires on a heading with no person and the parties are named in a later clause
G0036,2008|annonces-legales|SRL,annonces-legales/fr/2008/092:2008T05264SRLB2,annonces-legales,2008,092,2008-09-10,SRLB2,corporate,4937,https://jort.tn/view/annonces-legales/fr/2008/092,1,1,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0037,2008|annonces-legales|SRL,annonces-legales/fr/2008/093:2008C00135SRLB1,annonces-legales,2008,093,2008-09-12,SRLB1,corporate,4968,https://jort.tn/view/annonces-legales/fr/2008/093,1,0,0,0,no,claude-opus-5 (self-audit; see LIMITATIONS),
G0038,2008|annonces-legales|SRL,annonces-legales/fr/2008/093:2008R03096SRLB1,annonces-legales,2008,093,2008-09-12,SRLB1,corporate,4965,https://jort.tn/view/annonces-legales/fr/2008/093,2,1,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0039,2008|annonces-legales|SOD,annonces-legales/fr/2008/093:2008X01788SODB2,annonces-legales,2008,093,2008-09-12,SODB2,corporate,4984,https://jort.tn/view/annonces-legales/fr/2008/093,0,0,0,0,no,claude-opus-5 (self-audit; see LIMITATIONS),AGM approvals only
G0040,2008|annonces-legales|COP,annonces-legales/fr/2008/095:2008X01828COPB3,annonces-legales,2008,095,2008-09-17,COPB3,corporate,5054,https://jort.tn/view/annonces-legales/fr/2008/095,0,0,0,0,no,claude-opus-5 (self-audit; see LIMITATIONS),convocation; correctly yields nothing
G0041,2008|annonces-legales|SAN,annonces-legales/fr/2008/098:2008T05486SANB2,annonces-legales,2008,098,2008-09-24,SANB2,corporate,5135,https://jort.tn/view/annonces-legales/fr/2008/098,2,1,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0042,2008|annonces-legales|SRL,annonces-legales/fr/2008/101:2008S02227SRLB1,annonces-legales,2008,101,2008-10-01,SRLB1,corporate,5250,https://jort.tn/view/annonces-legales/fr/2008/101,2,1,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0043,2008|annonces-legales|SAN,annonces-legales/fr/2008/104:2008H00109SANB2,annonces-legales,2008,104,2008-10-10,SANB2,corporate,5365,https://jort.tn/view/annonces-legales/fr/2008/104,2,2,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0044,2008|annonces-legales|SAN,annonces-legales/fr/2008/107:2008T05914SANB2,annonces-legales,2008,107,2008-10-17,SANB2,corporate,5487,https://jort.tn/view/annonces-legales/fr/2008/107,0,,,,,,
G0045,2008|annonces-legales|SRL,annonces-legales/fr/2008/109:2008R03491SRLB2,annonces-legales,2008,109,2008-10-22,SRLB2,corporate,5570,https://jort.tn/view/annonces-legales/fr/2008/109,0,0,0,0,no,claude-opus-5 (self-audit; see LIMITATIONS),AGM deliberation only
G0046,2008|annonces-legales|SRL,annonces-legales/fr/2008/113:2008T06169SRLB1,annonces-legales,2008,113,2008-10-31,SRLB1,corporate,5715,https://jort.tn/view/annonces-legales/fr/2008/113,1,0,0,0,no,claude-opus-5 (self-audit; see LIMITATIONS),
G0047,2008|annonces-legales|SAN,annonces-legales/fr/2008/117:2008T06366SANB2,annonces-legales,2008,117,2008-11-12,SANB2,corporate,5883,https://jort.tn/view/annonces-legales/fr/2008/117,0,,,,,,
G0048,2008|annonces-legales|SAN,annonces-legales/fr/2008/121:2008R03807SANB2,annonces-legales,2008,121,2008-11-21,SANB2,corporate,6063,https://jort.tn/view/annonces-legales/fr/2008/121,1,1,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0049,2008|annonces-legales|SRL,annonces-legales/fr/2008/129:2008S02671SRLB2,annonces-legales,2008,129,2008-12-11,SRLB2,corporate,6418,https://jort.tn/view/annonces-legales/fr/2008/129,1,0,0,0,no,claude-opus-5 (self-audit; see LIMITATIONS),
G0050,2008|annonces-legales|SRL,annonces-legales/fr/2008/134:2008X02368SRLB2,annonces-legales,2008,134,2008-12-23,SRLB2,corporate,6593,https://jort.tn/view/annonces-legales/fr/2008/134,1,0,0,0,no,claude-opus-5 (self-audit; see LIMITATIONS),
G0051,2009|annonces-legales|SRL,annonces-legales/fr/2009/015:2009G00440SRLB1,annonces-legales,2009,015,2009-02-03,SRLB1,corporate,512,https://jort.tn/view/annonces-legales/fr/2009/015,2,1,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0052,2009|annonces-legales|SRL,annonces-legales/fr/2009/016:2009M00057SRLB1,annonces-legales,2009,016,2009-02-05,SRLB1,corporate,578,https://jort.tn/view/annonces-legales/fr/2009/016,2,1,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0053,2009|annonces-legales|SAN,annonces-legales/fr/2009/016:2009R00300SANB2,annonces-legales,2009,016,2009-02-05,SANB2,corporate,587,https://jort.tn/view/annonces-legales/fr/2009/016,1,0,1,0,no,claude-opus-5 (self-audit; see LIMITATIONS),
G0054,2009|annonces-legales|SRL,annonces-legales/fr/2009/017:2009G00584SRLB2,annonces-legales,2009,017,2009-02-07,SRLB2,corporate,673,https://jort.tn/view/annonces-legales/fr/2009/017,1,1,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0055,2009|annonces-legales|SOD,annonces-legales/fr/2009/019:2009R00421SODB1,annonces-legales,2009,019,2009-02-12,SODB1,corporate,775,https://jort.tn/view/annonces-legales/fr/2009/019,1,0,0,0,no,claude-opus-5 (self-audit; see LIMITATIONS),
G0056,2009|annonces-legales|SRL,annonces-legales/fr/2009/021:2009G00845SRLB1,annonces-legales,2009,021,2009-02-17,SRLB1,corporate,838,https://jort.tn/view/annonces-legales/fr/2009/021,2,1,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0057,2009|annonces-legales|SRL,annonces-legales/fr/2009/022:2009A00142SRLB1,annonces-legales,2009,022,2009-02-19,SRLB1,corporate,900,https://jort.tn/view/annonces-legales/fr/2009/022,2,1,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0058,2009|annonces-legales|SRL,annonces-legales/fr/2009/024:2009T01097SRLB2,annonces-legales,2009,024,2009-02-24,SRLB2,corporate,993,https://jort.tn/view/annonces-legales/fr/2009/024,2,1,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0059,2009|annonces-legales|SRL,annonces-legales/fr/2009/027:2009G01122SRLB1,annonces-legales,2009,027,2009-03-03,SRLB1,corporate,1137,https://jort.tn/view/annonces-legales/fr/2009/027,2,1,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0060,2009|annonces-legales|SRL,annonces-legales/fr/2009/028:2009G01165SRLB1,annonces-legales,2009,028,2009-03-05,SRLB1,corporate,1214,https://jort.tn/view/annonces-legales/fr/2009/028,2,1,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0061,2009|annonces-legales|SAN,annonces-legales/fr/2009/029:2009R00689SANB2,annonces-legales,2009,029,2009-03-07,SANB2,corporate,1285,https://jort.tn/view/annonces-legales/fr/2009/029,1,0,0,0,no,claude-opus-5 (self-audit; see LIMITATIONS),
G0062,2009|annonces-legales|SRL,annonces-legales/fr/2009/032:2009G01330SRLB2,annonces-legales,2009,032,2009-03-14,SRLB2,corporate,1434,https://jort.tn/view/annonces-legales/fr/2009/032,1,1,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0063,2009|annonces-legales|SAN,annonces-legales/fr/2009/032:2009G01338SANB2,annonces-legales,2009,032,2009-03-14,SANB2,corporate,1427,https://jort.tn/view/annonces-legales/fr/2009/032,1,0,0,0,no,claude-opus-5 (self-audit; see LIMITATIONS),
G0064,2009|annonces-legales|SRL,annonces-legales/fr/2009/033:2009B00248SRLB2,annonces-legales,2009,033,2009-03-17,SRLB2,corporate,1480,https://jort.tn/view/annonces-legales/fr/2009/033,1,0,0,0,no,claude-opus-5 (self-audit; see LIMITATIONS),
G0065,2009|annonces-legales|SRU,annonces-legales/fr/2009/034:2009M00170SRUB2,annonces-legales,2009,034,2009-03-19,SRUB2,corporate,1517,https://jort.tn/view/annonces-legales/fr/2009/034,1,1,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0066,2009|annonces-legales|SAN,annonces-legales/fr/2009/037:2009G01541SANB2,annonces-legales,2009,037,2009-03-26,SANB2,corporate,1646,https://jort.tn/view/annonces-legales/fr/2009/037,1,0,0,0,no,claude-opus-5 (self-audit; see LIMITATIONS),
G0067,2009|annonces-legales|SRL,annonces-legales/fr/2009/037:2009G01554SRLB2,annonces-legales,2009,037,2009-03-26,SRLB2,corporate,1654,https://jort.tn/view/annonces-legales/fr/2009/037,1,0,0,0,no,claude-opus-5 (self-audit; see LIMITATIONS),
G0068,2009|annonces-legales|COP,annonces-legales/fr/2009/043:2009N00329COPB2,annonces-legales,2009,043,2009-04-09,COPB2,corporate,1943,https://jort.tn/view/annonces-legales/fr/2009/043,0,0,0,0,no,claude-opus-5 (self-audit; see LIMITATIONS),statute approval only
G0069,2009|annonces-legales|SRL,annonces-legales/fr/2009/043:2009T02102SRLB2,annonces-legales,2009,043,2009-04-09,SRLB2,corporate,1935,https://jort.tn/view/annonces-legales/fr/2009/043,5,5,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0070,2009|annonces-legales|SRL,annonces-legales/fr/2009/051:2009G02276SRLB1,annonces-legales,2009,051,2009-04-28,SRLB1,corporate,2316,https://jort.tn/view/annonces-legales/fr/2009/051,1,0,0,0,no,claude-opus-5 (self-audit; see LIMITATIONS),
G0071,2009|annonces-legales|SRL,annonces-legales/fr/2009/052:2009T02585SRLB2,annonces-legales,2009,052,2009-04-30,SRLB2,corporate,2371,https://jort.tn/view/annonces-legales/fr/2009/052,2,0,0,0,no,claude-opus-5 (self-audit; see LIMITATIONS),
G0072,2009|annonces-legales|SRL,annonces-legales/fr/2009/053:2009G02390SRLB1,annonces-legales,2009,053,2009-05-02,SRLB1,corporate,2396,https://jort.tn/view/annonces-legales/fr/2009/053,2,1,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0073,2009|annonces-legales|SRL,annonces-legales/fr/2009/058:2009R01500SRLB2,annonces-legales,2009,058,2009-05-14,SRLB2,corporate,2675,https://jort.tn/view/annonces-legales/fr/2009/058,2,2,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0074,2009|annonces-legales|SRL,annonces-legales/fr/2009/059:2009G02708SRLB1,annonces-legales,2009,059,2009-05-16,SRLB1,corporate,2710,https://jort.tn/view/annonces-legales/fr/2009/059,2,1,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0075,2009|annonces-legales|SRL,annonces-legales/fr/2009/063:2009G02944SRLB2,annonces-legales,2009,063,2009-05-26,SRLB2,corporate,2945,https://jort.tn/view/annonces-legales/fr/2009/063,2,2,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0076,2009|annonces-legales|SRL,annonces-legales/fr/2009/063:2009R01686SRLB1,annonces-legales,2009,063,2009-05-26,SRLB1,corporate,2933,https://jort.tn/view/annonces-legales/fr/2009/063,2,0,0,0,no,claude-opus-5 (self-audit; see LIMITATIONS),
G0077,2009|annonces-legales|SRL,annonces-legales/fr/2009/064:2009G03029SRLB2,annonces-legales,2009,064,2009-05-28,SRLB2,corporate,2994,https://jort.tn/view/annonces-legales/fr/2009/064,1,,,,,,
G0078,2009|annonces-legales|SRL,annonces-legales/fr/2009/064:2009N00493SRLB1,annonces-legales,2009,064,2009-05-28,SRLB1,corporate,2982,https://jort.tn/view/annonces-legales/fr/2009/064,2,,,,,,
G0079,2009|annonces-legales|SRL,annonces-legales/fr/2009/072:2009G03485SRLB2,annonces-legales,2009,072,2009-06-16,SRLB2,corporate,3441,https://jort.tn/view/annonces-legales/fr/2009/072,1,,,,,,
G0080,2009|annonces-legales|SRU,annonces-legales/fr/2009/072:2009G03491SRUB1,annonces-legales,2009,072,2009-06-16,SRUB1,corporate,3430,https://jort.tn/view/annonces-legales/fr/2009/072,1,,,,,,
G0081,2009|annonces-legales|SRL,annonces-legales/fr/2009/074:2009S01183SRLB2,annonces-legales,2009,074,2009-06-20,SRLB2,corporate,3553,https://jort.tn/view/annonces-legales/fr/2009/074,5,,,,,,
G0082,2009|annonces-legales|SRU,annonces-legales/fr/2009/087:2009G04232SRUB1,annonces-legales,2009,087,2009-07-21,SRUB1,corporate,4160,https://jort.tn/view/annonces-legales/fr/2009/087,2,,,,,,
G0083,2009|annonces-legales|SAN,annonces-legales/fr/2009/087:2009R02490SANB2,annonces-legales,2009,087,2009-07-21,SANB2,corporate,4163,https://jort.tn/view/annonces-legales/fr/2009/087,0,0,0,0,no,claude-opus-5 (self-audit; see LIMITATIONS),"renews 'les mandats des Administrateurs' without naming any individual, so there is no tie to extract; correctly empty"
G0084,2009|annonces-legales|SRU,annonces-legales/fr/2009/088:2009K00096SRUB1,annonces-legales,2009,088,2009-07-23,SRUB1,corporate,4198,https://jort.tn/view/annonces-legales/fr/2009/088,2,,,,,,
G0085,2009|annonces-legales|SRL,annonces-legales/fr/2009/088:2009X01341SRLB2,annonces-legales,2009,088,2009-07-23,SRLB2,corporate,4220,https://jort.tn/view/annonces-legales/fr/2009/088,2,,,,,,
G0086,2009|annonces-legales|SAN,annonces-legales/fr/2009/093:2009S01490SANB2,annonces-legales,2009,093,2009-08-04,SANB2,corporate,4443,https://jort.tn/view/annonces-legales/fr/2009/093,0,0,0,0,no,claude-opus-5 (self-audit; see LIMITATIONS),AGM approved the financial statements only
G0087,2009|annonces-legales|SRL,annonces-legales/fr/2009/104:2009G04896SRLB2,annonces-legales,2009,104,2009-08-29,SRLB2,corporate,4933,https://jort.tn/view/annonces-legales/fr/2009/104,2,,,,,,
G0088,2009|annonces-legales|SRL,annonces-legales/fr/2009/105:2009T05169SRLB2,annonces-legales,2009,105,2009-09-01,SRLB2,corporate,4968,https://jort.tn/view/annonces-legales/fr/2009/105,0,,,,,,
G0089,2009|annonces-legales|SRL,annonces-legales/fr/2009/112:2009X01645SRLB2,annonces-legales,2009,112,2009-09-17,SRLB2,corporate,5313,https://jort.tn/view/annonces-legales/fr/2009/112,0,,,,,,
G0090,2009|annonces-legales|SAN,annonces-legales/fr/2009/113:2009G05293SANB2,annonces-legales,2009,113,2009-09-19,SANB2,corporate,5370,https://jort.tn/view/annonces-legales/fr/2009/113,0,,,,,,
G0091,2009|annonces-legales|SRL,annonces-legales/fr/2009/115:2009S01796SRLB1,annonces-legales,2009,115,2009-09-24,SRLB1,corporate,5407,https://jort.tn/view/annonces-legales/fr/2009/115,2,,,,,,
G0092,2009|annonces-legales|SRL,annonces-legales/fr/2009/118:2009G05505SRLB2,annonces-legales,2009,118,2009-10-01,SRLB2,corporate,5544,https://jort.tn/view/annonces-legales/fr/2009/118,3,,,,,,
G0093,2009|annonces-legales|SRL,annonces-legales/fr/2009/120:2009N00935SRLB1,annonces-legales,2009,120,2009-10-06,SRLB1,corporate,5622,https://jort.tn/view/annonces-legales/fr/2009/120,2,,,,,,
G0094,2009|annonces-legales|SRL,annonces-legales/fr/2009/122:2009T05936SRLB2,annonces-legales,2009,122,2009-10-10,SRLB2,corporate,5716,https://jort.tn/view/annonces-legales/fr/2009/122,1,,,,,,
G0095,2009|annonces-legales|SRU,annonces-legales/fr/2009/127:2009B01107SRUB2,annonces-legales,2009,127,2009-10-22,SRUB2,corporate,5953,https://jort.tn/view/annonces-legales/fr/2009/127,2,,,,,,
G0096,2009|annonces-legales|SRL,annonces-legales/fr/2009/131:2009B01149SRLB1,annonces-legales,2009,131,2009-10-31,SRLB1,corporate,6131,https://jort.tn/view/annonces-legales/fr/2009/131,1,,,,,,
G0097,2009|annonces-legales|SRL,annonces-legales/fr/2009/131:2009P00719SRLB1,annonces-legales,2009,131,2009-10-31,SRLB1,corporate,6132,https://jort.tn/view/annonces-legales/fr/2009/131,1,,,,,,
G0098,2009|annonces-legales|APS,annonces-legales/fr/2009/134:2009C00180APSF1,annonces-legales,2009,134,2009-11-07,APSF1,association,6305,https://jort.tn/view/annonces-legales/fr/2009/134,2,,,,,,
G0099,2009|annonces-legales|SRL,annonces-legales/fr/2009/134:2009R03551SRLB2,annonces-legales,2009,134,2009-11-07,SRLB2,corporate,6287,https://jort.tn/view/annonces-legales/fr/2009/134,0,,,,,,
G0100,2009|annonces-legales|SRL,annonces-legales/fr/2009/137:2009A00847SRLB2,annonces-legales,2009,137,2009-11-14,SRLB2,corporate,6427,https://jort.tn/view/annonces-legales/fr/2009/137,2,,,,,,
G0101,2009|annonces-legales|SRL,annonces-legales/fr/2009/140:2009E00360SRLB2,annonces-legales,2009,140,2009-11-21,SRLB2,corporate,6559,https://jort.tn/view/annonces-legales/fr/2009/140,1,,,,,,
G0102,2009|annonces-legales|SRU,annonces-legales/fr/2009/140:2009G06654SRUB1,annonces-legales,2009,140,2009-11-21,SRUB1,corporate,6532,https://jort.tn/view/annonces-legales/fr/2009/140,2,,,,,,
G0103,2009|annonces-legales|SRL,annonces-legales/fr/2009/148:2009G07027SRLB2,annonces-legales,2009,148,2009-12-10,SRLB2,corporate,6874,https://jort.tn/view/annonces-legales/fr/2009/148,0,,,,,,
G0104,2009|annonces-legales|SRL,annonces-legales/fr/2009/151:2009P00827SRLB1,annonces-legales,2009,151,2009-12-17,SRLB1,corporate,7010,https://jort.tn/view/annonces-legales/fr/2009/151,3,,,,,,
G0105,2009|annonces-legales|SRU,annonces-legales/fr/2009/152:2009T07238SRUB1,annonces-legales,2009,152,2009-12-19,SRUB1,corporate,7062,https://jort.tn/view/annonces-legales/fr/2009/152,2,,,,,,
G0106,2009|annonces-legales|SAN,annonces-legales/fr/2009/153:2009G07331SANB2,annonces-legales,2009,153,2009-12-22,SANB2,corporate,7108,https://jort.tn/view/annonces-legales/fr/2009/153,0,,,,,,
G0107,2009|annonces-legales|SRL,annonces-legales/fr/2009/156:2009G07485SRLB1,annonces-legales,2009,156,2009-12-29,SRLB1,corporate,7244,https://jort.tn/view/annonces-legales/fr/2009/156,2,,,,,,
