coding_id,block_uid,event_id,event_type,person_mention,org_mention,role_canonical,event_date,event_date_source,pattern_id,evidence_quote,verdict,correct_event_type,correct_role,coder_note
G0022,annonces-legales/fr/2008/034:2008R01256SRLB1,EV_d3584653f680ffe46dc5,appointed,Bel Hareth Salem,Société Laser Software SARL,gerant,2008-03-10,act,corp.appointed,"- Monsieur Bel Hareth Salem est nommé gérant statutaires de la société, il aura les pouvoirs les plus étendus pour agir au nom de la société pour une période de cinq ans renouvelable par tacite recond",correct,,,
G0023,annonces-legales/fr/2008/044:2008Z00176SRLB1,EV_2f1a342b0e461ca5dd24,constituted,,Société Sud Pesage et Services,,2008-04-17,act,corp.constituted,Constitution d'une SARL,correct,,,
G0023,annonces-legales/fr/2008/044:2008Z00176SRLB1,EV_5c1b211aae1ec849983b,appointed,Rahali Faouzi,Société Sud Pesage et Services,gerant,2008-04-17,act,corp.role_colon,Gérance : Messieurs Rahali Faouzi et Abdennebi Abdelbasset ont été nommés gérants de la société pour une période illimitée.,correct,,,
G0024,annonces-legales/fr/2008/045:2008T03209SRLB1,EV_afdc4e9313931c63c66e,constituted,,Société Ettaamir,,2008-05-27,filing,corp.constituted,Constitution d'une société à responsabilité limitée,correct,,,
G0024,annonces-legales/fr/2008/045:2008T03209SRLB1,EV_3c3cf6a6d6a61c533718,appointed,Tissaoui El Adel,Société Ettaamir,gerant,2008-05-27,filing,corp.role_colon,Gérant : Mr Tissaoui El Adel.,correct,,,
G0026,annonces-legales/fr/2008/048:2008G02996SRLB1,EV_d21776a57cffaceddb9c,constituted,,UNIVERSAL,,2008-05-17,act,corp.constituted,Constitution d'une société SARL,correct,,,
G0026,annonces-legales/fr/2008/048:2008G02996SRLB1,EV_8f3da5bf5374fd602cba,appointed,Zied Arous,UNIVERSAL,gerant,2008-05-17,act,corp.appointed,Gérance : Monsieur Zied Arous est nommé gérant de la société avec tous les pouvoirs énoncés aux statuts.,correct,,,
G0027,annonces-legales/fr/2008/049:2008A00533SRLB1,EV_3497be59c55c3a5746c8,constituted,,Société Challenge Consulting,,2008-06-11,filing,corp.constituted,Constitution d'une S.A.R.L,correct,,,
G0027,annonces-legales/fr/2008/049:2008A00533SRLB1,EV_e9697855e3fbfe02c8ad,appointed,Rejeb Ben Ammar Krich,Société Challenge Consulting,gerant,2008-06-11,filing,corp.role_colon,"Gérant : Mr Rejeb Ben Ammar Krich, suivant PV, enregistré le 8 mai 2008, sous n° 08701651.",correct,,,
G0028,annonces-legales/fr/2008/050:2008E00262SRLB1,EV_6e18513f42c71fe3cbd9,constituted,,Art de l'Artisanat,,2008-02-20,act,corp.constituted,Constitution d'une société,correct,,,
G0029,annonces-legales/fr/2008/052:2008A00550SRLB1,EV_b0cfbe67ead9680c0856,constituted,,Société Tunisia Book,,2008-06-20,filing,corp.constituted,Constitution d'une SARL,correct,,,
G0029,annonces-legales/fr/2008/052:2008A00550SRLB1,EV_cc96ea7dd86bdb3872a4,appointed,Chakib M'Hiri,Société Tunisia Book,gerant,2008-06-20,filing,corp.role_colon,Gérant : Mr Chakib M'Hiri avec les pouvoirs les plus étendus.,correct,,,
G0030,annonces-legales/fr/2008/055:2008G03444SRLB2,EV_7f8a2d8a478c1e97847d,shares_transferred,Iskander Ghorbel,El Bouhaira Service Company,,2008-06-07,registration,corp.shares,"En vertu d'un acte S.S.Pv. enregistré à la recette des finances du lac de Tunis le 7 juin 2008, quittance M019297, n° 08101591, Monsieur Iskander Ghorbel a cédé les parts lui appartenant dans le capit",correct,,,
G0030,annonces-legales/fr/2008/055:2008G03444SRLB2,EV_cab000a0c5edf0d7f6c4,shares_transferred,Ala Kahloul,El Bouhaira Service Company,,2008-06-07,registration,corp.shares,"En vertu d'un acte S.S.Pv. enregistré à la recette des finances du lac de Tunis le 7 juin 2008, quittance M019297, n° 08101591, Monsieur Iskander Ghorbel a cédé les parts lui appartenant dans le capit",correct,,,
G0031,annonces-legales/fr/2008/059:2008B00682SRLB2,EV_cdbdea961fa381504adf,capital_increased,,Société Turki Import Export,,2008-07-07,filing,corp.cap_up,"- d'augmenter le capital social de 649.000 Dinars pour le porter de 476.000 Dinars 1.125.000 Dinars, et ce, par la création de 64900 parts de 10 dinars chacune,",correct,,,
G0032,annonces-legales/fr/2008/059:2008P00127SRLB1,EV_90408a5fbf70d1f85c2f,constituted,,International Tele Pro Marketing,,2008-02-01,act,corp.constituted,Constitution d'une SARL,correct,,,
G0032,annonces-legales/fr/2008/059:2008P00127SRLB1,EV_72f1c5c5d48eca058cec,appointed,Julien Lemepreur,International Tele Pro Marketing,gerant,2008-02-01,act,corp.role_colon,Gérance : Mr Julien Lemepreur gérant et Mr Fredj Hammed Cheniti co-gérant.,correct,,,
G0032,annonces-legales/fr/2008/059:2008P00127SRLB1,EV_e52c57b67bff123022bb,appointed,Fredj Hammed Cheniti,International Tele Pro Marketing,cogerant,2008-02-01,act,corp.role_colon,Gérance : Mr Julien Lemepreur gérant et Mr Fredj Hammed Cheniti co-gérant.,correct,,,
G0033,annonces-legales/fr/2008/059:2008R02410SRLB2,EV_de889fc26b977fa1a08a,shares_transferred,Arbi Ben Tounes,M.S.C Tunisie SARL,,2008-06-16,act,corp.shares,- Approuve la cession de parts sociales entre la société Zoubeldi Assistance et Service et Mr Arbi Ben Tounes.,correct,,,
G0034,annonces-legales/fr/2008/064:2008T04447SRLB1,EV_f10efb60542648903d6a,constituted,,Société générale de Bureautique & Informatique,,2007-12-27,act,corp.constituted,Constitution d'une société SARL,correct,,,
G0036,annonces-legales/fr/2008/092:2008T05264SRLB2,EV_6ca799e5bfbbbb40cc01,appointed,Charles Sudgen,Société ECULINE TUNISIE S.A.R.L,cogerant,2008-05-01,act,corp.appointed,"Suivant procès-verbal de l'AGO en date du 1er mai 2008, enregistrés à la recette de l'enregistrement des Actes de Sociétés 1er Bureau Tunis le 24 juin 2008, sous le n° 8805839 quittance n° 7256, dont ",correct,,,
G0037,annonces-legales/fr/2008/093:2008C00135SRLB1,EV_b44bb1b02cb5213c081e,constituted,,Sté générale de quincaillerie,,2008-08-23,act,corp.constituted,Constitution d'une société à responsabilité limitée,correct,,,
G0038,annonces-legales/fr/2008/093:2008R03096SRLB1,EV_ed04444200a5a87242e0,constituted,,Espace des eaux,,2008-06-23,act,corp.constituted,Espace des Eaux,correct,,,
G0038,annonces-legales/fr/2008/093:2008R03096SRLB1,EV_0c70cec5fd9604cae265,appointed,Habiba Manai,Espace des eaux,gerant,2008-06-23,act,corp.constitution_officer,- Gérance : Madame Habiba Manai.,correct,,,
G0041,annonces-legales/fr/2008/098:2008T05486SANB2,EV_9a7fadec07c746b55137,renamed,,SUD INVEST,,2008-06-12,act,corp.renamed,Désignation d'un directeur général et changement de la dénomination de SUD INVEST,correct,,,
G0041,annonces-legales/fr/2008/098:2008T05486SANB2,EV_20702723fb951bc12320,appointed,Abdelaziz Hammami,SUD INVEST,dg,2008-06-12,act,corp.appointed,"Il appert que le conseil a nommé Mr Abdelaziz Hammami comme directeur général de la société Sud Invest à partir de la date du 1er juillet 2008, avec les pouvoirs énoncés dans le P.V du susdit conseil.",correct,,,
G0042,annonces-legales/fr/2008/101:2008S02227SRLB1,EV_ffaea5612b7bd22712e2,constituted,,STE Cléopâtre Services et Informatique,,2008-09-15,registration,corp.constituted,Constitution d'une S.A.R.L,correct,,,
G0042,annonces-legales/fr/2008/101:2008S02227SRLB1,EV_25b05b77c57a2e88bf84,appointed,Mohamed Trabelsi,STE Cléopâtre Services et Informatique,gerant,2008-09-15,registration,corp.appointed,Gérance : Mr Mohamed Trabelsi est nommé gérant de la société avec les pouvoirs les plus étendus.,correct,,,
G0043,annonces-legales/fr/2008/104:2008H00109SANB2,EV_4d6614089d669646c463,renewed,Mohamed Ali Laouani,Société Polyclinique HAMDA LAOUANI,pdg,2008-09-15,act,corp.renewed,"1 - Suivant procès-verbal du Conseil d'Administration du 15 septembre 2008, enregistré à la recette des finances de Kairouan le 23 septembre 2008, sous le n° 08704010 quittance n° M048832, il a été dé",correct,,,
G0043,annonces-legales/fr/2008/104:2008H00109SANB2,EV_695bb64796985804e3c3,appointed,Abderraouf Ajra,Société Polyclinique HAMDA LAOUANI,commissaire_aux_comptes,2008-09-15,act,corp.appointed,"2 - Suivant procès-verbal de l'A.G.O du 6 septembre 2008, enregistré à la recette des finances de Kairouan le 23 septembre 2008, sous le n° 08704011, quittance n° M048833, il a été décidé la nominatio",correct,,,
G0046,annonces-legales/fr/2008/113:2008T06169SRLB1,EV_34bd25f5c9c6fed7cc7a,constituted,,Société Tunisienne de Commerce,,2008-10-23,filing,corp.constituted,Constitution d'une SARL,correct,,,
G0048,annonces-legales/fr/2008/121:2008R03807SANB2,EV_73039426055e700eed76,renewed,Abdelkarim Friga,Société Tunisienne des Grands Ateliers de Naassen S.A STUGAN,commissaire_aux_comptes,2007-08-21,act,corp.renewed,- Renouvellement du mandat du commissaire aux comptes M. Abdelkarim Friga pour les exercices 2007 - 2008 - 2009.,correct,,,
G0049,annonces-legales/fr/2008/129:2008S02671SRLB2,EV_9a3f143ad2a739325b81,headquarters_moved,,Société Amir Alimentation Générale en Gros,,2007-10-05,act,corp.hq,"Suivant PV de l'AGE réunie en date du 05/10/2007, enregistré à la recette des finances avenue Habib Bourguiba Monastir en date du 19/10/2007 sous le n° 08808107, les associés décident le transfert du ",correct,,,
G0050,annonces-legales/fr/2008/134:2008X02368SRLB2,EV_e9cab594d5990c100c5e,capital_increased,,Société Filtration Tissus Technique,,2008-11-18,act,corp.cap_up,# Augmentation de capital,correct,,,
G0051,annonces-legales/fr/2009/015:2009G00440SRLB1,EV_8ccba1e20a677ca227b8,constituted,,Société VF CONSULTING,,2009-02-03,pub_only,corp.constituted,Constitution,correct,,,
G0051,annonces-legales/fr/2009/015:2009G00440SRLB1,EV_afc8495f837ccf10de9e,appointed,Laurent DE RISSAU,Société VF CONSULTING,gerant,2009-02-03,pub_only,corp.appointed,"Gérance : Monsieur Laurent DE RISSAU, est nommé gérant de la société avec les pleins pouvoirs.",correct,,,
G0052,annonces-legales/fr/2009/016:2009M00057SRLB1,EV_d61631ed356ba3d8441d,constituted,,Comptoir de Boulanger,,2009-01-15,act,corp.constituted,Constitution de société SARL,correct,,,
G0052,annonces-legales/fr/2009/016:2009M00057SRLB1,EV_edfdd00ebe8805cd9e37,appointed,Zouhair Ben Hmida,Comptoir de Boulanger,gerant,2009-01-15,act,corp.appointed,"Une société à responsabilité limitée est constituée dite Comptoir de Boulanger, son siège social à la route de Tataouine rue 2 mai 1966 Médenine, avec un capital de 14.000.000 dinars, son objet est : ",correct,,,
G0053,annonces-legales/fr/2009/016:2009R00300SANB2,EV_d2935ccb2b537a7e18f2,appointed,Mokhtar Ahmed Hamouda,,administrateur,2009-01-24,registration,corp.appointed,"Suivant le PV du conseil d'administration de la Banque Tuniso Libyenne enregistré à la recette des finances, rue d'Autriche le 24 janvier 2009, (quittance n° M006734 enregistrement n° 9800352), Monsie",wrong_org,,,organisation name empty
G0054,annonces-legales/fr/2009/017:2009G00584SRLB2,EV_180029615aabb669ad39,appointed,Mourad Fradi,SUNSEANIOR,commissaire_aux_comptes,2008-12-02,act,corp.appointed,"3 - Les associés ont décidé de nommer le Cabinet Ecc Mazars représenté par Mr Mourad Fradi, en qualité du commissaire aux comptes.",correct,,,
G0055,annonces-legales/fr/2009/019:2009R00421SODB1,EV_8376ab2d14d9ff0abbda,constituted,,GDA MEKMEN CD2,,2009-02-12,pub_only,corp.constituted,Création d'un Groupement de Développement dans le Secteur de l'Agriculture,correct,,,
G0056,annonces-legales/fr/2009/021:2009G00845SRLB1,EV_dbc0229f9966bd6c1818,constituted,,Société le PROGRES d'Exploitation Agricole SPEA,,2008-11-27,act,corp.constituted,Constitution,correct,,,
G0056,annonces-legales/fr/2009/021:2009G00845SRLB1,EV_32473e295ace3585ded4,appointed,Hamdi Ayadi,Société le PROGRES d'Exploitation Agricole SPEA,gerant,2008-11-27,act,corp.role_colon,Gérant : Mr Hamdi Ayadi a été nommé gérant de la société avec les pouvoirs les plus étendus.,correct,,,
G0057,annonces-legales/fr/2009/022:2009A00142SRLB1,EV_fbf378a86093bf23a130,constituted,,STE MONSHORE,,2009-02-13,filing,corp.constituted,Constitution d'une SARL,correct,,,
G0057,annonces-legales/fr/2009/022:2009A00142SRLB1,EV_9e5fa73ad781abbf847f,appointed,Souissi Naoiem,STE MONSHORE,gerant,2009-02-13,filing,corp.role_colon,Gérant : Mme Souissi Naoiem avec les pouvoirs les plus étendus.,correct,,,
G0058,annonces-legales/fr/2009/024:2009T01097SRLB2,EV_9c1c437f603665d50c34,capital_increased,,Entreprise Abdelwahab Sandid Et Compagnie S.A.R.L,,2009-02-09,act,corp.cap_up,Augmentation du capital social,correct,,,
G0058,annonces-legales/fr/2009/024:2009T01097SRLB2,EV_cae57069ac92e9dfce17,appointed,Ghazi Sandid,Entreprise Abdelwahab Sandid Et Compagnie S.A.R.L,cogerant,2009-02-09,act,corp.appointed,"Du PV. des délibérations de l'A.G.O du 9 février 2009, enregistré à la RF de Bab Souika le 10 février 2009, sous le n° 09700391, il appert que l'assemblée a décidé la nomination de Monsieur Ghazi Sand",correct,,,
G0059,annonces-legales/fr/2009/027:2009G01122SRLB1,EV_988bb59364808b91849b,constituted,,Société AL IAAMAR de Bâtiment Général,,2009-02-12,act,corp.constituted,Constitution d'une société S.A.R.L,correct,,,
G0059,annonces-legales/fr/2009/027:2009G01122SRLB1,EV_8e219cbeb4603e00853c,appointed,Zoubeir Grissa,Société AL IAAMAR de Bâtiment Général,gerant,2009-02-12,act,corp.appointed,- Gérance : Mr Zoubeir Grissa est nommé gérant de la société pour une période de trois ans avec tous les pouvoirs énoncés aux statuts.,correct,,,
G0060,annonces-legales/fr/2009/028:2009G01165SRLB1,EV_93bc92ca0127233da05d,constituted,,AZEANE SARL,,2009-02-13,act,corp.constituted,Constitution d'une SARL,correct,,,
G0060,annonces-legales/fr/2009/028:2009G01165SRLB1,EV_56db08bebe9053b00b5c,appointed,Philippe Grancher,AZEANE SARL,gerant,2009-02-13,act,corp.role_colon,Gérant : Monsieur Philippe Grancher.,correct,,,
G0061,annonces-legales/fr/2009/029:2009R00689SANB2,EV_e4556312f2c1ffdc0305,capital_increased,,Société Générale d'Investissement Touristique SOGIT,,2008-12-23,act,corp.cap_up,"Aux termes du procès-verbal de l'Assemblée générale extraordinaire du 23 décembre 2008 enregistré à la recette de l'enregistrement des actes de sociétés, 1er bureau à Tunis sous le n° 8511 874, quitta",correct,,,
G0062,annonces-legales/fr/2009/032:2009G01330SRLB2,EV_0a6701471753b3d3b7bf,resigned,Mohamed Ali Habouria,Rue Venezuela n° 1 Belvédère 1002,cogerant,2009-03-14,pub_only,corp.resigned,"Suivant PV de l'assemblée générale extraordinaire de l'A.T.I tenu le 5/3/2009 enregistré le 6/3/2009 à la recette de l'enregistrement des actes de sociétés 1er bureau Tunis, sous n° 9802184 quittance ",correct,,,
G0063,annonces-legales/fr/2009/032:2009G01338SANB2,EV_f7a37d38b267518a453e,headquarters_moved,,SOCIETE BIZERTE CAP 3000,,2008-04-25,act,corp.hq,- Le changement du siège social de la société de la Résidence Horizon Rue du Lac Huron 1053 Les Berges du Lac Tunis à l'immeuble Chammem Rue du Lac Annecy 1053 Les Berges du Lac - Tunis.,correct,,,
G0064,annonces-legales/fr/2009/033:2009B00248SRLB2,EV_14c7b69d16ab8775dd7f,capital_increased,,Société Ben Hmide D'investissement Agricole,,2009-03-11,act,corp.cap_up,les associés ont décidé d'augmenter le capital de 300 000 dinars pour le porter de 3280 000 dinars à 3580 000 dinars et ce par la création de 30 000 nouvelles parts de 10 dinars chacune par la société,correct,,,
G0065,annonces-legales/fr/2009/034:2009M00170SRUB2,EV_24e6db7d4a249568f32e,revoked,Moncef B.Ali B.Salem Bouzommita,Société Balsam d'animation touristique,gerant,2009-03-14,act,corp.revoked,Révocation de Monsieur Moncef B.Ali B.Salem Bouzommita gérant de la société de tous les affaires de la société.,correct,,,
G0066,annonces-legales/fr/2009/037:2009G01541SANB2,EV_5bfcf0eab36753f8c1d1,capital_increased,,Société d'Etude et de Réalisation EDEN CLUB,,2009-02-12,act,corp.cap_up,Augmentation du capital social,correct,,,
G0067,annonces-legales/fr/2009/037:2009G01554SRLB2,EV_88e097ae19e6853460e3,headquarters_moved,,Vidale Maghreb,,2008-09-01,act,corp.hq,Transfert du siège social,correct,,,
G0069,annonces-legales/fr/2009/043:2009T02102SRLB2,EV_8a21c4ade83050c799ae,shares_transferred,Naoufel Ltaief,SOCIETE EASY COFFEE,,2009-03-12,act,corp.shares,"- Mr Naoufel Ltaief et Mr Maximilian Cerutti ont cédé chacun à Mme Ouafa Attaoui, 100 parts sociales qu'ils détiennent au capital de la société EASY COFFEE.",correct,,,
