coding_id,stratum,edge_id,entry_uid,subject_name,relation,layer,counterparty_name,counterparty_kind,year,extractor,pattern_id,folio,evidence_quote,verdict,correct_relation,correct_counterparty,coder,coder_note
E0018,kinship|rule,ED_9b0a18fe623d45b8132d,aalam:3.07,حسن ڤلاتي,child_of,kinship,علي بن احمد,person,,rule,KIN01,333-340,عندما نقل والده المرحوم علي بن أحمد,correct,,,C1,'indama nuqila waliduhu al-marhum Ali b. Ahmad [Gu]llati - possessive on the entry subject Hasan Guellaty. Counterparty string is truncated to 'Ali b. Ahmad' where the text reads Ali b. Ahmad Guellaty; family name should be carried through so the node does not float free.
E0019,kinship|rule,ED_b8eb2ed9992aa9faebd9,aalam:2.09,طاهر باشا خير الدين,child_of,kinship,خير الدين,person,,rule,KIN01,193-224,التحق مع بقيّة إخوته وعائلته بوالده الجنرال خير الدين العظيم الذي كان,correct,,,C1,"Same sentence and same tie as E0014, extracted twice by the rule pass and the llm pass under slightly different subject strings (Tahir Khayr al-Din / Tahir Pasha Khayr al-Din). Correct, but it is one tie, not two."
E0020,kinship|rule,ED_cb50377344cf4bc34c3b,aalam:3.01,الطيب رضوان,child_of,kinship,مصطفى آغة,person,,rule,KIN01,287-294,وقد أز نلجب أبوه مصطفى » رئيس قسم الإنشا,wrong_counterparty,,مصطفى رضوان,C1,"The sentence reads wa-qad anjaba abuhu Mustafa, ra'is qism al-insha' bi-idarat al-maliyya... tiflayn huma Muhammad wa-al-Tayyib. The father is named Mustafa Radwan two paragraphs on. The string 'agha' occurs nowhere in entry 3.01. Worse, 'Mustafa Agha' is a DIFFERENT man with his own entry (aalam:2.11, Mustafa Agha 1871-1946, the poet-philosopher) and cannot be the father of a man born 1869. The father-of tie is real; the counterparty node is a cross-entry name collision on the bare given name Mustafa."
E0021,kinship|rule,ED_e6422c0fd5999d788ce7,aalam:3.10,محمد الفاضل بن عاشور,child_of,kinship,الطاهر بن عاشور,person,,rule,KIN01,349-354,الذي وجد في شخص والده العلامة الشيخ الطاهر بن عاشور,correct,,,C1,alladhi wajada fi shakhs walidihi al-'allama al-Shaykh al-Tahir b. Ashur; confirmed by harasa 'ala i'ta' ibnihi al-akbar Muhammad al-Fadil tarbiya mithaliyya further down.
E0022,membership|llm,ED_013fd3e5e10303781650,aalam:3.06,حسن قلاتي,headed,membership,الجمعية التمثيلية الآداب,association,,llm,aalam-model-v1,327-332,"مجموعة من الشبان التونسيين، على رأسهم
حسن قلاتي",wrong_relation,founded,,C1,"Full sentence: al-jam'iyya al-tamthiliyya 'al-Adab' allati assasat-ha fi khidamm al-harb al-'alamiyya al-ula majmu'a min al-shubban al-tunisiyyin, 'ala ra'sihim Hasan Guellaty. The pronoun -him in 'ala ra'sihim refers to the young men, i.e. he led the founding group; the text nowhere says he presided over the association (no ri'asa, no ra'is al-jam'iyya). Compare E0026, where presidency IS stated in so many words. What the sentence supports is founded."
E0023,membership|llm,ED_0143eaabc111817f08a4,aalam:3.04,محمد السعيد الخلصي,colleague_of,membership,محمد باي خير الدين,person,,llm,aalam-model-v1,307-318,"على غرار محمد باي
خير الدين الذي كان قد تعرّف عليه وأعجب به",correct,,,C1,"'ala ghirar Muhammad Bay Khayr al-Din alladhi kana qad ta'arrafa 'alayhi wa-a'jaba bihi. Acquaintance plus admiration, which the codebook's colleague_of ('named as a friend, associate or fellow') does cover - but it is a weak, non-organisational tie, and note the acquaintance is stated from Khayr al-Din's side (he is the relative-clause subject), not the entry subject's."
E0024,membership|llm,ED_04c96367b9836d848823,aalam:2.01,علي الورداني,member_of,membership,البعثة العلمية,org,,llm,aalam-model-v1,113-120,العلمية المكلّفة بإحصا، المؤلفات العربية المحفوظة في مكتبات اسبانيا,correct,,,C1,"The quote is a mid-sentence fragment; the full clause is iqtaraha 'ala al-sultan ta'yinahu katiban lil-bi'tha al-'ilmiyya al-mukallafa bi-ihsa'... Membership is confirmed by the following paragraphs (a'da' al-bi'tha, zumala'ihi). Strictly the sentence states an appointment as the mission's secretary, so appointed_to would be the tighter label."
E0025,membership|llm,ED_06e39b91110ed9575251,aalam:1.01,عزيزة عثمانة,member_of,membership,زاوية سيدي أحمد بن عروس,org,,llm,aalam-model-v1,25-32,وحولت بيتا من البيوت الكائنة بزنقة الشماعية إلى تربة محاذية لضريح الولي,spurious,,,C1,The quoted sentence says only that she converted a house in Zanqat al-Shamma'iyya into a turba adjoining the saint's tomb. No tie to the zawiya as a body is stated - and the immediately preceding sentence states the OPPOSITE of membership: raghma i'jabiha al-shadid bi-al-wali... fa-innahu lam yusmah li-asbab ghamida bi-dafniha fi zawiyatihi. An affiliation asserted where the text records exclusion.
E0026,membership|llm,ED_08ae25250a754fe57fde,aalam:2.07,محمد الأصرم,headed,membership,الجمعية الخلدونية,association,,llm,aalam-model-v1,177-186,سوا، كعضو في الهيئة المديرة للجمعية أو كرئيس، عن العمل والنضال,correct,,,C1,"sawa'an ka-'udw fi al-hay'a al-mudira lil-jam'iyya aw ka-ra'is... fi sabil al-Khalduniyya, reinforced by al-takhalli mu'aqqatan 'an al-ri'asa. Presidency stated explicitly; contrast E0022."
E0027,membership|llm,ED_0d7421fba70dfc30ca5b,aalam:3.11,محمود الماطري,colleague_of,membership,الحبيب بورقيبة,person,,llm,aalam-model-v1,355-360,"بعد التقائه بباريس مع الزعيم
الحبيب بورقيبة",correct,,,C1,"ba'da iltiqa'ihi bi-Paris ma'a al-za'im al-Habib Bourguiba, followed by qarraba dhalika al-liqa' bayna al-rajulayn... wa-ahdatha baynahuma rawabit matina. Associate tie stated, symmetric."
E0028,membership|llm,ED_0d95afd3361acaae0796,aalam:2.03,البشير صفر,wrote_for,membership,جريدة الحاضرة,newspaper,,llm,aalam-model-v1,133-140,"وعلى وسجه الخصوص البشير صفر الذي
كان لفصوله المتعلقة بمطامع بعض الدول العظمى",correct,,,C1,"Listed among al-muharririn of al-Hadira who answered the founder's call: wa-'ala wajh al-khusus al-Bashir Safar alladhi kana li-fusulihi... al-sada al-ba'id. wrote_for is exactly right. Note the entry subject here is Ali Bouchoucha, not Safar, and the extractor correctly did not make Safar the subject of the entry's own ties."
E0029,membership|llm,ED_0de7399b609a435294e9,aalam:3.11,الطاهر صفر,member_of,membership,المكتب السياسي للحزب الدستوري الجديد,org,1934,llm,aalam-model-v1,355-360,"والطاهر صفر (أمين
عام مساعد)",correct,,,C1,Footnote 2 to entry 3.11: intakhaba mu'tamar Qasr Hilal al-maktab al-siyasi lil-hizb al-dusturi al-jadid... wa-al-Tahir Safar (amin 'am musa'id). Year 1934 comes from the main text (congress of 2 March 1934) in the same entry.
E0030,membership|llm,ED_0e90b1f73e440e2a75f2,aalam:2.07,محمد الصغير بن يوسف,authored,membership,المشرع الملكي في سلطنة أولاد حسين بن علي تركي,work,,llm,aalam-model-v1,177-186,علي تركي) (1771-1705): لمحمد الصغير بن يوسف,correct,,,C1,naqala ila al-lugha al-faransiyya... kitab 'al-Mashra' al-Malaki...' li-Muhammad al-Saghir b. Yusuf. The lam of attribution makes Ibn Yusuf the author; the entry subject Muhammad al-Asram is the translator. Authorship correctly assigned away from the entry subject - the translation tie itself is not in the vocabulary and goes unrecorded.
E0031,membership|llm,ED_0fdfd2a20c059abde1d4,aalam:2.04,علي باش حانبة,founded,membership,جمعية قدماء المدرسة الصادقية,association,1905,llm,aalam-model-v1,141-158,فأنشأ جمعية قدما، المدرسة الصادقية,correct,,,C1,"fa-ansha'a jam'iyyat qudama' al-madrasa al-Sadiqiyya, VSO with the elided subject being the entry subject Ali Bash Hamba. Year 1905 is supported by footnote 1 in the same entry (ta'assasat... sanat 1905)."
E0032,membership|llm,ED_11b77a239e815449f280,aalam:3.05,خير الله بن مصطفى,founded,membership,المدرسة القرآنية العصرية,school,1905,llm,aalam-model-v1,319-326,أسّس خير الله بن مصطفى في سنة 1905 «المدرسة القرآنية العصرية) بتونس,correct,,,C1,"Footnote 3: assasa Khayrallah b. Mustafa fi sanat 1905 'al-madrasa al-qur'aniyya al-'asriyya' bi-Tunis. VSO - the post-verbal name is the founder, and here it happens to be the entry subject, so the reading is right."
E0033,membership|llm,ED_152ef55348967fade41a,aalam:2.15,الصادق التلاتلي,member_of,membership,المجلس الأعلى للبلاد التونسية,org,,llm,aalam-model-v1,277-286,أو بوصفه عضرا في المجلس الأعلى للبلاد,correct,,,C1,"aw bi-wasfihi 'udwan fi al-majlis al-a'la lil-bilad al-tunisiyya, in the run of offices held by the entry subject al-Sadiq al-Talatli between 1931 and 1945."
E0034,membership|llm,ED_172f7cb8a67610fe7405,aalam:2.04,عبد العزيز الثعالبي,headed,membership,النشرة العربية لجريدة التونسي,newspaper,1909,llm,aalam-model-v1,141-158,ظهرت النشرة العربية من جريدة التونسي في سنة 1909 بإشراف الشيخ عبد العزيز الثعالبي,correct,,,C1,"Footnote 3: zaharat al-nashra al-'arabiyya min jaridat al-Tunisi fi sanat 1909 bi-ishraf al-Shaykh Abd al-Aziz al-Tha'albi. bi-ishraf = under his direction, which headed ('presided over') fits. Borderline against the codebook, which routes publications to wrote_for ('edited or wrote for a named publication'); flagging so the edges/headed split for papers is decided once rather than case by case."
E0035,membership|llm,ED_174d37a8363980cbba82,aalam:3.11,محمد بورقيبة,member_of,membership,المكتب السياسي للحزب الدستوري الجديد,org,1934,llm,aalam-model-v1,355-360,ومّحمد بورقيبة (أمين مال),correct,,,C1,"Same footnote as E0029: wa-Muhammad Bourguiba (amin mal), among the political bureau elected at Qasr Hilal. Membership and the 1934 date both stated."
E0036,membership|llm,ED_195d543908c8857f276d,aalam:2.03,محمد الحشايشي,wrote_for,membership,جريدة الحاضرة,newspaper,,llm,aalam-model-v1,133-140,وعلي الورداني ومتحمد الحشايشي ومعحمدل الأصرم وسحجوج,correct,,,C2,Context names him among the muharrirun who answered the founder's call to al-Hadira: «دعوة مؤسس الجريدة أمثال: محمد بن الخوجة وعلي الورداني ومحمد الحشايشي». Quote alone is a bare name-list; the tie is carried by the preceding clause.
E0037,membership|llm,ED_21fbee7ad29dbbdc6db2,aalam:1.08,محمد بيرم الخامس,colleague_of,membership,الجنرال حسين,person,,llm,aalam-model-v1,87-96,"ومن هناك توجه إلى مدينة فلورنسا لتحرير وصية
صديقه الكبير الجئرال حسين",correct,,,C2,"«لتحرير وصية صديقه الكبير الجنرال حسين» - explicitly 'his great friend', subject of entry 1.08 is Bayram V. colleague_of covers friend per vocab."
E0038,membership|llm,ED_260396cf7b2f1934f578,aalam:2.09,طاهر خير الدين,wrote_for,membership,جريدة الإقدام,newspaper,,llm,aalam-model-v1,193-224,وكان يتولّى بنفسه تحرير المقالات الأساسية,correct,,,C2,"«دفعه ... إلى تأسيس جريدتين، هما ... الإقدام و شاهراه ... وكان يتولى بنفسه تحرير المقالات الأساسية». wrote_for stated. Note the same sentence also states founded(الإقدام) and founded(شاهراه), neither recorded - a miss, not an error."
E0039,membership|llm,ED_2787f697f9fd40919a77,aalam:2.03,علي بوشوشة,member_of,membership,صالون الأميرة نازلي,org,,llm,aalam-model-v1,133-140,"كان مواظباً على حضور الجلسات التى كانت
تعقد بصالون الأميرة نازلى",correct,,,C2,"«كان مواظباً على حضور الجلسات التي كانت تعقد بصالون الأميرة نازلي». Regular attendance at a salon; member_of is a generous but fair reading for a body of this kind. Counterparty is a salon, not a formal org."
E0040,membership|llm,ED_27afdb0ddb9b324e136b,aalam:2.02,الجنرال خير الدين,founded,membership,المدرسة الصادقية,school,1875,llm,aalam-model-v1,121-132,أسس الجنرال شخير الدين المدرسة الصادقية سنة 1875,correct,,,C2,"Footnote: «أسس الجنرال خير الدين المدرسة الصادقية سنة 1875». VSO handled correctly - Khayr al-Din is the agent, not the entry subject (al-Bashir Sfar, 2.02). Year matches."
E0041,membership|llm,ED_29d0bd79e9366459b602,aalam:1.06,البشير بن الخوجة,authored,membership,ترجمة ابن أبي الضياف,work,,llm,aalam-model-v1,71-78,انظر ترجمة ابن أبي الضياف بقلم البشير بن البخوجة,correct,,,C2,"«انظر ترجمة ابن أبي الضياف بقلم البشير بن الخوجة». بقلم = by the pen of; authorship of the biography, not of Ibn Abi al-Diyaf's own work. Correct as recorded."
E0042,membership|llm,ED_2b5e79c0799f35f89d76,aalam:1.08,محمد بيرم الخامس,colleague_of,membership,محمد السنوسي,person,,llm,aalam-model-v1,87-96,حمزة فتح الله المصري والشيخ محمد السئوسي التونسي,correct,,,C2,«واستعان لأداء رسالته بثلة من الأدباء البارعين أمثال الشيخ حمزة فتح الله المصري والشيخ محمد السنوسي التونسي». Bayram enlisted them on al-Ra'id; associate tie stated. Sentence equally supports an unrecorded wrote_for(السنوسي -> الرائد التونسي).
E0043,membership|llm,ED_2e4731d236e4b3036ce8,aalam:2.06,سالم بو حاجب,colleague_of,membership,عبد الجليل الزاوش,person,,llm,aalam-model-v1,169-176,كانت تعقد تارة بضاحية المرسي في بيت عبد الجليل الزاوش,correct,,,C2,"Weak cue: «الاجتماعات ... كانت تعقد تارة بضاحية المرسى في بيت عبد الجليل الزاوش». Tie rests on Bou Hajeb attending gatherings hosted at Zawush's house - co-membership of a circle, not a stated friendship. Same sentence names a third host, محمد البكوش, for whom no edge was extracted."
E0044,membership|llm,ED_32bbdae8d81950a828ee,aalam:3.04,محمد السعيد الخلصي,authored,membership,البحيرة,work,,llm,aalam-model-v1,307-318,"ومنها قصيدة لامرتين:
«البحيرة»)",wrong_relation,"translated (no vocab term; nearest read_work_of, counterparty لامرتين)",لامرتين,C2,«نقل إلى اللغة العربية العديد من المقتطفات المأخوذة من الأدب الفرنسي، ومنها قصيدة لامرتين: البحيرة». The sentence attributes the poem to Lamartine and al-Khalsi only the translation. authored(البحيرة) contradicts the quoted sentence.
E0045,membership|llm,ED_36b194be1357813466a1,aalam:2.10,علي بوشوشة,founded,membership,جريدة الحاضرة,newspaper,,llm,aalam-model-v1,225-236,«الحاضرة) التي أسّسها صديقه على بوشوشة بمشاركة عدد كبير,correct,,,C2,"«الحاضرة التي أسسها صديقه علي بوشوشة». Founder correctly attributed to Bouchoucha though the entry (2.10) is Ibn al-Khuja. Same sentence also states wrote_for ties for Sfar, al-Sanusi, al-Hashayshi, al-Wardani."
E0046,membership|llm,ED_3e88c8deea582ef7fc0a,aalam:3.04,محمد السعيد الخلصي,member_of,membership,نادي قدماء الصادقية,association,,llm,aalam-model-v1,307-318,ومن بينها نادي قدما، الصادقية,correct,,,C2,«وكان يتردد أيضاً على نادي ... وغيره من النوادي الأدبية بتونس، ومن بينها نادي قدماء الصادقية». Frequenting rather than enrolled membership; acceptable for a club. Note the explicit «انضم إلى النادي التونسي» two lines earlier was not extracted.
E0047,membership|llm,ED_495b823499736f229273,aalam:3.04,محمد السعيد الخلصي,member_of,membership,نادي مصطفى آغة,association,,llm,aalam-model-v1,307-318,وكان يتردّد أيضاً على نادي الشاعر الفيلسوف مصطفى آغة,correct,,,C2,"«وكان يتردد أيضاً على نادي الشاعر الفيلسوف مصطفى آغة». Same frequenting cue as E0046; counterparty correctly read as the club, not the man."
E0048,membership|llm,ED_496bf71570e7d0aa65d8,aalam:2.15,الصادق التلاتلي,authored,membership,الطريقة العصرية,work,,llm,aalam-model-v1,277-286,مثل كتاب «الطريقة العصرية، الرائع، الذي أصدره الصادق التلاتلي في جزأين,correct,,,C2,«كتاب الطريقة العصرية الرائع، الذي أصدره الصادق التلاتلي في جزأين». أصدر + named work; VSO agent is al-Tlatli. Correct.
E0049,membership|llm,ED_4983acab1e782d6df247,aalam:1.02,محمد بن الخوجة,authored,membership,تاريخ معالم التوحيد,work,,llm,aalam-model-v1,33-48,«تاريخ معالم التوحيد»» تأليف محمد بن البخوجة,correct,,,C2,"Footnote: «تاريخ معالم التوحيد، تأليف محمد بن الخوجة». تأليف = authored. Subject correctly taken from the footnote, not from the entry subject (1.02)."
E0050,membership|llm,ED_4ec5325bbb075b6dc1f3,aalam:2.03,علي الورداني,wrote_for,membership,جريدة الحاضرة,newspaper,,llm,aalam-model-v1,133-140,"دعوة مؤسس الجريدة أمثال: محمد
بن الخوجة وعلي الورداني ومتحمد الحشايشي",correct,,,C2,"Same list as E0036: «لبوا من أول وهلة دعوة مؤسس الجريدة أمثال: محمد بن الخوجة وعلي الورداني...». Tie carried by context, not by the quoted fragment."
E0051,membership|llm,ED_576786efeea787cc9ee3,aalam:2.04,علي باش حانبة,headed,membership,جريدة التونسي,newspaper,,llm,aalam-model-v1,141-158,واختاروا بالإجماع على باش حانبة للإشراف على تلك الجريدة,correct,,,C2,"«واختاروا بالإجماع علي باش حانبة للإشراف على تلك الجريدة». Here the post-verbal name is the object (they chose him), and the extractor read the direction right: he supervises al-Tunisi."
E0052,membership|llm,ED_5e0b7b8d02a17b99c8bf,aalam:3.13,الطاهر الخميري,authored,membership,العصبية عند ابن خلدون,work,,llm,aalam-model-v1,369-372,كان عنوان أطروحته: «العصبية عند ابن خلدون,correct,,,C2,«وقد كان عنوان أطروحته: العصبية عند ابن خلدون». Possessive أطروحته refers back to the entry subject al-Tahir al-Khamiri. Correct.
E0053,membership|llm,ED_6059c709b95fd14716dd,aalam:2.13,خير الله بن مصطفى,member_of,membership,مؤتمر شمال إفريقيا بباريس,org,1908,llm,aalam-model-v1,253-270,"هما السيدان عبد الجليل
الزاوش وخخير الله",correct,,,C2,"Supported only by context, not by the quoted fragment (which is a bare pair of names in a Le Temps quotation). Footnote: «شارك في مؤتمر شمال إفريقيا المنعقد بباريس في سنة 1908 سبعة أعضاء من حركة الشباب التونسي هم: ... وخير الله بن مصطفى». Note the body he is actually said to belong to is حركة الشباب التونسي; the congress is an event he attended."
E0054,membership|llm,ED_63ae154d1458827117ed,aalam:3.07,حسن قلاتي,colleague_of,membership,عبد الجليل الزاوش,person,,llm,aalam-model-v1,333-340,بالتعاون مع صديقيه علي باش حانبة وعبد الجليل الزاوش,correct,,,C2,"«فقام بتحليل دواليبها ... بالتعاون مع صديقيه علي باش حانبة وعبد الجليل الزاوش». صديقيه binds to Hasan Guellaty, the entry subject (3.07). Explicit."
E0055,membership|llm,ED_66ce5b934fe375136246,aalam:3.09,الشاذلي خير الله,headed,membership,جريدة صوت التونسي,newspaper,,llm,aalam-model-v1,345-348,بواسطة جريدة الشاذلي خير الله التي كانت تورّع عليهم بانتظام,wrong_relation,wrote_for,,C2,"The only thing the text states is «وكان ينشر تلك الفصول في جريدة صوت التونسي» plus the idafa «جريدة الشاذلي خير الله» (footnoted as صوت التونسي). 'His newspaper' is a possessive attribution, not a statement that he presided over it; headed is an inference. wrote_for is what the passage actually says."
E0056,membership|llm,ED_7001ec766c3ef725355d,aalam:3.11,الحبيب بورقيبة,member_of,membership,الحزب الحر الدستوري,party,,llm,aalam-model-v1,355-360,"كلا من محمود الماطري
والحبيب بورقيبة ولم يترددا عن الانضمام إلى حركته الناشئة",correct,,,C2,"«فاستمالت حجج الشيخ وفصاحته كلاً من محمود الماطري والحبيب بورقيبة ولم يترددا عن الانضمام إلى حركته الناشئة»; the movement is identified two lines up as «الحزب الحر الدستوري الذي أنشأه الشيخ عبد العزيز الثعالبي». Subject Bourguiba, though entry 3.11 is al-Materi - handled correctly. Parallel member_of for al-Materi not extracted."
E0057,membership|llm,ED_70c7788edade64ccd262,aalam:3.07,عبد العزيز الثعالبي,founded,membership,الحزب الدستوري,party,,llm,aalam-model-v1,333-340,وأحد مؤسّسي الحزب الدستوري، الاتصال,correct,,,C2,«الشيخ عبد العزيز الثعالبي ... وأحد مؤسسي الحزب الدستوري». One of the founders; founded is right.
