entity_key,org_entity_id,entity_basis,n_events
AMB:AFRIKISOL TRADING,ORGE_11614bbb611727fd1c15,ambiguous_mention,3
AMB:AFRIMAR MAGHREB,ORGE_38799377c65a73b25a2a,ambiguous_mention,1
AMB:AFRIQUE BETON,ORGE_046f75641cf536c2c11c,ambiguous_mention,2
AMB:AFRIQUE CULTURE,ORGE_19fdaf3f91d9ce9b6192,ambiguous_mention,4
AMB:AFROFLEX,ORGE_ee2dde5144753a5e47d5,ambiguous_mention,4
AMB:AGENCE CONTROLE TECHNIQUE INTERNATIONALE APAVE,ORGE_dc510118539190919f0e,ambiguous_mention,1
AMB:AGENCE INTERNATIONALE DEVELOPEMENT LOGICIELS CREATION PROMOTION SITES WEB,ORGE_f21cb39e7b1f12053464,ambiguous_mention,2
AMB:AGET,ORGE_d6f5110541b95378871a,ambiguous_mention,5
AMB:AGR INDUSTRIE,ORGE_2ca9d1df1b36d9b79566,ambiguous_mention,2
AMB:AGRAL,ORGE_9c254d01a5abe6bcde0b,ambiguous_mention,1
AMB:AGREMENT D'UNE CESION D'UNE ACTION A UN TIERS,ORGE_f16a6ac30369e03e3ea5,ambiguous_mention,10
AMB:AGREMENT NOUVEAUX ASOCIES,ORGE_964c48ea1aea6e00c23c,ambiguous_mention,6
AMB:AGRI PRODUCTION,ORGE_ce30df2f8b751e6f1e19,ambiguous_mention,1
AMB:AGRI SOL,ORGE_72ed001e0d1b28f55188,ambiguous_mention,4
AMB:AGRICOLE DAR EL KHIR,ORGE_f0c4e4efca2b9178d8e4,ambiguous_mention,2
AMB:AGRICOLE EL BARAKA,ORGE_a8ee2e57d6c3eef34e5a,ambiguous_mention,2
AMB:AGRICOLE EL GOBA,ORGE_b3770070503a6d3166c3,ambiguous_mention,4
AMB:AGRICOLE ELBARAKA,ORGE_4de3c96a468d8f06bd81,ambiguous_mention,2
AMB:AGRICOLE ESANIA,ORGE_8f46c146f8050e9d5863,ambiguous_mention,1
AMB:AGRICOLE IMOBILIERE SIDI ABDALAH,ORGE_831af2ad1cc1acb6052a,ambiguous_mention,4
AMB:AGRICOLE INTERNATIONALE ESAFA,ORGE_560ba4da62e55f84d8d6,ambiguous_mention,5
AMB:AGRICOLE NOUR EL AIN,ORGE_30fc114d3c79dd53277a,ambiguous_mention,2
AMB:AGRICOLE SALIMA,ORGE_cd681b499a0c822609da,ambiguous_mention,3
AMB:AGRICOLE TESTOUR,ORGE_e87a96c5caa1ad1b4537,ambiguous_mention,8
AMB:AGRICOLE YOUNSI,ORGE_8157ed782f21230fe912,ambiguous_mention,2
AMB:AGRIFARM,ORGE_941072f91b201fc6ab7b,ambiguous_mention,1
AMB:AGRIMATCO TUNISIE,ORGE_cba47b0161d357ffa156,ambiguous_mention,1
AMB:AGRINDUS,ORGE_1a9949ebb613af16bb44,ambiguous_mention,2
AMB:AGRO GEOTHERMIE,ORGE_0da107cd0fbac21b1ec8,ambiguous_mention,1
AMB:AGRO SERVICES,ORGE_394fca36aa6ce531a4cf,ambiguous_mention,3
AMB:AGRO ZITEX,ORGE_0dfebbce2a4db6a31b1a,ambiguous_mention,5
AMB:AGROBIO S A R L,ORGE_212f63415fba4dc95e9d,ambiguous_mention,1
AMB:AGRODIS,ORGE_bad9f13bbfd004849977,ambiguous_mention,1
AMB:AGROPACK,ORGE_4ec8e38af575a9b5dcb9,ambiguous_mention,8
AMB:AGROSUN,ORGE_256a08e573e5d87ba665,ambiguous_mention,2
AMB:AHLEM,ORGE_4077401f9febb80e6bc2,ambiguous_mention,2
AMB:AICHA,ORGE_c52c2c5c5e60aa1b7b59,ambiguous_mention,2
AMB:AICHA COMERCE,ORGE_c52d911da281f26f872f,ambiguous_mention,2
AMB:AIDA CONFECTION,ORGE_6de630bbd5a77cb0c95c,ambiguous_mention,2
AMB:AIR LIQUIDE TUNISIE,ORGE_15605cf6f97617d23b61,ambiguous_mention,19
AMB:AIR LIQUIDE TUNISIE SERVICES,ORGE_acaa5209251d48591ccf,ambiguous_mention,5
AMB:AIR PLUS TOURISME,ORGE_2777faa7c16097a57e21,ambiguous_mention,2
AMB:AL AMEN,ORGE_3e6fbde0c8d4183521c2,ambiguous_mention,2
AMB:AL BADR COMERCIALE,ORGE_190092895b987742fee7,ambiguous_mention,2
AMB:AL BARAKA,ORGE_4b89a6cad1ba139f2c14,ambiguous_mention,26
AMB:AL KABIDHA AL ARABIA LILTAAMIR,ORGE_b50cb7b8c683921c60a3,ambiguous_mention,3
AMB:AL KARAMA HOLDING,ORGE_4843b664abbbd68608b4,ambiguous_mention,20
AMB:AL MAJED INVESTMENT,ORGE_5d1c415446a1e88a4993,ambiguous_mention,2
AMB:AL NASEEM TUNIS,ORGE_e2f688656aeff74754df,ambiguous_mention,5
AMB:AL QUALITY,ORGE_221174e80a730f6e6db7,ambiguous_mention,1
AMB:AL SECURE,ORGE_2eea52b9cd9c46a9a6f8,ambiguous_mention,2
AMB:ALBATROS,ORGE_91afb347bb750c6aecef,ambiguous_mention,9
AMB:ALBIS PLASTIC TUNISIA,ORGE_d35ad61a277018c0e7fc,ambiguous_mention,3
AMB:ALCAZAR MED IMOBILIERE,ORGE_ffb613418c0912a24eb9,ambiguous_mention,2
AMB:ALDIANA HOTEL RESORT CONSULT,ORGE_33a84fb542ff625785cb,ambiguous_mention,3
AMB:ALEMANDE TECHNOLOGIES D'ENERGIE RENOUVELABLE SATER,ORGE_6c1a8132e2b49307b288,ambiguous_mention,2
AMB:ALEXANDRA,ORGE_39ae4d9daac54c94695c,ambiguous_mention,1
AMB:ALFA MATERIAUX CONSTRUCTION,ORGE_01fd5f4555c45bcd5452,ambiguous_mention,1
AMB:ALFA PACK,ORGE_1a77070dac2e57b9adf7,ambiguous_mention,2
AMB:ALFET EL MACHIA,ORGE_88ed60b70a03501163cd,ambiguous_mention,1
AMB:ALIANCE CONSULTING,ORGE_cf2704ad851239f65abf,ambiguous_mention,2
AMB:ALIANCE DIFUSION,ORGE_af842d1cce7af6c1e620,ambiguous_mention,2
AMB:ALIANCE DISTRIBUTION,ORGE_a5b3c63862d76888b733,ambiguous_mention,3
AMB:ALIANCE IMOBILIERE,ORGE_868f1f0cdbad71acbede,ambiguous_mention,11
AMB:ALIANCE PHARMA,ORGE_c4c51b903d221374c12c,ambiguous_mention,8
AMB:ALITEX,ORGE_016b941c636868af0968,ambiguous_mention,6
AMB:ALJAZIRA,ORGE_d844f5899054f63424a4,ambiguous_mention,1
AMB:ALMA,ORGE_80880fc1ae3b80b4ad20,ambiguous_mention,7
AMB:ALPHA ETIQUETES,ORGE_64d2003f57b3d92477c2,ambiguous_mention,5
AMB:ALPHA HYUNDAI MOTOR,ORGE_f9247a4ea177d89dd24c,ambiguous_mention,1
AMB:ALPHA MODE,ORGE_7f1e56cbeb7e0c832012,ambiguous_mention,2
AMB:ALPHA PARTNERS TUNISIA,ORGE_42cf97a47d5ad9105a6f,ambiguous_mention,2
AMB:ALPHA PRODUCTION,ORGE_11e5f7b69a4456542e02,ambiguous_mention,2
AMB:ALPINA SYSTEM,ORGE_8a4addf2a83d20a55d75,ambiguous_mention,2
AMB:ALTERNATIVE CAPITAL PARTNERS,ORGE_e1ec5fece8a32027c3c6,ambiguous_mention,1
AMB:ALTRAD CEDRIA,ORGE_bde7fd07846bf76827e4,ambiguous_mention,2
AMB:ALU INOX CONCEPT,ORGE_2f0943628d8608501b64,ambiguous_mention,2
AMB:ALU SYSTEM,ORGE_898f53b3b57c7da9c894,ambiguous_mention,1
AMB:ALUMENAGE,ORGE_1788299b84b1cd04170a,ambiguous_mention,5
AMB:ALUX INJECTION,ORGE_97ca45c17601ce0238ba,ambiguous_mention,3
AMB:ALYSA RENT A CAR,ORGE_04b28177e201e377b87c,ambiguous_mention,2
AMB:AM,ORGE_0760286b02d860496426,ambiguous_mention,4
AMB:AM ELECTRIC,ORGE_eb26fb60493656840a6d,ambiguous_mention,2
AMB:AMAL,ORGE_6e2fd841b891166e4532,ambiguous_mention,7
AMB:AMAL MODE,ORGE_936bdb1339cddb8e31e7,ambiguous_mention,2
AMB:AMANA,ORGE_08430332481f0d44a057,ambiguous_mention,2
AMB:AMANI,ORGE_7da72613c60fd2e3e372,ambiguous_mention,2
AMB:AMC,ORGE_27193e0de6fc5aecf192,ambiguous_mention,3
AMB:AMC ERNST,ORGE_f32b0cddf5d62dc411cb,ambiguous_mention,1
AMB:AMC IMOBILIERE,ORGE_73799f910193f455c2b7,ambiguous_mention,4
AMB:AMEL,ORGE_5bfa55b02f1d538840ef,ambiguous_mention,3
AMB:AMEN,ORGE_71e84c06b16e7f82d058,ambiguous_mention,7
AMB:AMEN BANK,ORGE_704fcf49715e14e803bf,ambiguous_mention,3
AMB:AMEN COMERCE,ORGE_ac70cd1111323b74d2bf,ambiguous_mention,4
AMB:AMEN CONSEIL,ORGE_d4aeccd78d1263d98bc5,ambiguous_mention,2
AMB:AMEN DEVELOPEMENT,ORGE_3ddbadf60d396d7bbf45,ambiguous_mention,1
AMB:AMEN INVEST,ORGE_487cc3b6ed138862116d,ambiguous_mention,2
AMB:AMEN SANTE,ORGE_695e3471f8948518d70d,ambiguous_mention,1
AMB:AMEN SANTE S,ORGE_fc3b0636938faed6caac,ambiguous_mention,1
AMB:AMEN SANTE S A,ORGE_9aa53c12af042533b6d0,ambiguous_mention,2
AMB:AMERICAN UNIVERSITY IN NORTH OF AFRICA,ORGE_3425319e91e57b59dbe5,ambiguous_mention,2
AMB:AMI COMERCIALE,ORGE_05e64db56ed131fa3814,ambiguous_mention,2
AMB:AMIGOS,ORGE_9d027d9f950585c04b2e,ambiguous_mention,3
AMB:AMILCAR,ORGE_ec014224dc14b417bdb7,ambiguous_mention,5
AMB:AMINA COMERCE,ORGE_37759da135b7eeb9fd03,ambiguous_mention,5
AMB:AMINE,ORGE_0fc0b261c2729e7f8bb2,ambiguous_mention,5
AMB:AMINE COMERCE,ORGE_67ab381a266adf7f7ae3,ambiguous_mention,2
AMB:AMIR,ORGE_611cfc9944b5665839cd,ambiguous_mention,6
AMB:AMIRA,ORGE_b40b344f2b34abce2631,ambiguous_mention,14
AMB:AMSTERDAM,ORGE_02e13c8d62715d55312d,ambiguous_mention,1
AMB:AMV,ORGE_cb4dc75750809ef22b4a,ambiguous_mention,3
AMB:AMWEL CAPITAL VENTURES,ORGE_d504f958e6a16416e769,ambiguous_mention,8
AMB:AMYCO,ORGE_048aee4591fd5aea4a28,ambiguous_mention,3
AMB:ANAS LINE,ORGE_eeaaaaf40cf441de8f69,ambiguous_mention,2
AMB:ANONCE,ORGE_04a9979204b468ced46e,ambiguous_mention,82
AMB:ANONYME,ORGE_eef8f7d3f53e57d605c7,ambiguous_mention,8
AMB:APEA,ORGE_2f72805f7efc691e442a,ambiguous_mention,2
AMB:APHRODITE GESTION HOTELIERE,ORGE_6b7296d78460e01c9fe9,ambiguous_mention,5
AMB:APID,ORGE_f73fb285bfc31387dfd8,ambiguous_mention,2
AMB:APLICATION L'ARTICLE 164 CODE SOCIETES COMERCIALES,ORGE_e934f872e8b1871eaf89,ambiguous_mention,2
AMB:APOLONIA WORLD TRAVEL,ORGE_fe1fea3a20fd5f404a99,ambiguous_mention,2
AMB:APROTEX,ORGE_fb189a6acb5999a12e47,ambiguous_mention,2
AMB:APROZ,ORGE_c2dd3cd8bf01b00ce879,ambiguous_mention,2
AMB:APTUS TUNISIE,ORGE_eb015dd740cead0d7ff4,ambiguous_mention,1
AMB:ARAB BANKING CORPORATION TUNISIE,ORGE_226541689546806d27ec,ambiguous_mention,1
AMB:ARAB BANKING CORPORATION TUNISIE S A,ORGE_d12252f9bbc71cfd5d63,ambiguous_mention,2
AMB:ARAB DEBT RECOVERY,ORGE_48c611fe14bee63e27dd,ambiguous_mention,5
AMB:ARAB INTERNATIONAL LEASE,ORGE_0945d8851342374561a5,ambiguous_mention,2
AMB:ARAB TUNISIAN LEASE,ORGE_7ee518d5c7f8922b7c46,ambiguous_mention,20
AMB:ARABE INDUSTRIES PHARMACEUTIQUES SAIPH,ORGE_59581608894798c388bb,ambiguous_mention,3
AMB:ARABE LIVRE,ORGE_eafce8caa530ffd6233b,ambiguous_mention,2
AMB:ARC EN CIEL,ORGE_04ff9220a38e0617b350,ambiguous_mention,5
AMB:ARCOTEX,ORGE_768189e1bb4d07e93713,ambiguous_mention,2
AMB:AREM GROUP,ORGE_aa5f753df270bdd09c86,ambiguous_mention,1
AMB:AREM GROUP S A,ORGE_ee2bdf2997c9c912ab01,ambiguous_mention,3
AMB:AREX,ORGE_69cc834bbe8a17c9fe7d,ambiguous_mention,2
AMB:ARGOS,ORGE_71c7ceae687815d71564,ambiguous_mention,1
AMB:ARIF,ORGE_1e5a031395c01ce814ab,ambiguous_mention,1
AMB:AROMA,ORGE_91ea0c3d85c529a10835,ambiguous_mention,1
AMB:ART,ORGE_39e1a1499c02531778e8,ambiguous_mention,2
AMB:ART DECO,ORGE_2dc77a2a209071df0275,ambiguous_mention,3
AMB:ART DENIM,ORGE_55413f5934319a851224,ambiguous_mention,2
AMB:ART LAB,ORGE_4de987ddaa3ddb0fdac1,ambiguous_mention,2
AMB:ARTAGRI,ORGE_57b0a6bee8f0d0d1f9d9,ambiguous_mention,1
AMB:ARTEMIS,ORGE_50fa8781cb8454ba6b36,ambiguous_mention,2
AMB:ARTEX,ORGE_6f5211ed721e91ce2b14,ambiguous_mention,2
AMB:ARTEXPORT,ORGE_41bdb48c75e11bf7cf71,ambiguous_mention,2
AMB:ARTHA,ORGE_58cd64ffc1c0d2bbf894,ambiguous_mention,1
AMB:ARTICLE 301 CODE SOCIETES COMERCIALES,ORGE_8875712bc071bd2ddb9b,ambiguous_mention,15
AMB:ARTICLES PLASTIQUES,ORGE_d18c4cfdebe213ddbb15,ambiguous_mention,3
AMB:ARTIS,ORGE_dd2bddb606261cbc788d,ambiguous_mention,4
AMB:ARTOIS CONFECTION TUNISIE,ORGE_e6eae16c1fce4f0a614a,ambiguous_mention,3
AMB:ARTS TAPIS,ORGE_735e4c2bdab1a9bb4be9,ambiguous_mention,4
AMB:ASA TU,ORGE_1092a9674ee05457f1f5,ambiguous_mention,3
AMB:ASATEX,ORGE_f46b9264e7d9d9ba8273,ambiguous_mention,3
AMB:ASISTANCE CONSULTING COMPANY,ORGE_1bc601224e2f2b804743,ambiguous_mention,1
AMB:ASISTANCE PRO,ORGE_7f78d5c9e481856d73f0,ambiguous_mention,1
AMB:ASISTANCE TECHNIQUE,ORGE_c94b8115ed429c6b9b25,ambiguous_mention,4
AMB:ASK TUNISIA,ORGE_a5d4d98e8c9f39d982c0,ambiguous_mention,4
AMB:ASLOG,ORGE_af44f40a78fbd3a626b8,ambiguous_mention,2
AMB:ASMA,ORGE_157c09e07f919be7307d,ambiguous_mention,5
AMB:ASOCIATION SPORTIVE,ORGE_cd59122481eb1446320f,ambiguous_mention,4
AMB:ASOCIATIONS PARTIS SYNDICATS SYNDICS,ORGE_13d479402329385a5642,ambiguous_mention,1503
AMB:ASTARTE FOOD,ORGE_b9e79892aa4edb3d7f6a,ambiguous_mention,2
AMB:ASTROLABE VOYAGES,ORGE_973fc1d10cf8b7671682,ambiguous_mention,1
AMB:ASURANCES BIAT,ORGE_d49c0772530d5fb50403,ambiguous_mention,9
AMB:ASURANCES MAGHREBIA IMOBILIERE S A,ORGE_bb0bd615e4545fa11474,ambiguous_mention,1
AMB:ASURANCES MULTIRISQUES ITIHAD,ORGE_eb17d298c3cd56f38383,ambiguous_mention,1
AMB:AT,ORGE_d4cb2d86bfbc76cfb4b9,ambiguous_mention,2
AMB:ATC AUTOMATISME,ORGE_54e67722fd8ccf6efdfe,ambiguous_mention,1
AMB:ATELIER 212,ORGE_7e79382853b3662a01b2,ambiguous_mention,2
AMB:ATELIER NOCTURNE,ORGE_7b60aa14910bacbffcb1,ambiguous_mention,4
AMB:ATIJARI GESTION,ORGE_95904dfe378658b96e9b,ambiguous_mention,9
AMB:ATIJARI LEASING,ORGE_be0753a87174ff898f85,ambiguous_mention,3
AMB:ATL DEVELOPEMENT,ORGE_9499c289cc9130f0a1ac,ambiguous_mention,4
AMB:ATLANTIS VOYAGES,ORGE_9fff3f2069eb212fdd85,ambiguous_mention,1
AMB:ATLAS AGRICOLE,ORGE_104e3e2631a609e44ffb,ambiguous_mention,1
AMB:ATLAS INDUSTRIE,ORGE_618958eacb66f671fedc,ambiguous_mention,2
AMB:ATS TUNISIE,ORGE_574a6844d890f36b49bc,ambiguous_mention,4
AMB:AUBERGINE IMOBILIERE,ORGE_18b76f83434cc94b9be3,ambiguous_mention,1
AMB:AUDIO VISUAL INTERNATIONAL PRODUCTION,ORGE_f349105da8c55c7a0b8d,ambiguous_mention,1
AMB:AUDIS,ORGE_aeb774dd81c15927e4de,ambiguous_mention,2
AMB:AURES AUTO,ORGE_2dcbb1c99af28a62fa7a,ambiguous_mention,1
AMB:AUTO PLUS,ORGE_f08ba43aec7ee025e4ec,ambiguous_mention,6
AMB:AUTO SERVICES,ORGE_7ceb6add416ecf7b6245,ambiguous_mention,2
AMB:AUTOMATEC,ORGE_18738e07bfada5696c0e,ambiguous_mention,1
AMB:AUTRONIC,ORGE_47dd9e62e147ca3c51e1,ambiguous_mention,1
AMB:AUX COMPTES,ORGE_72cbea18426f9e493238,ambiguous_mention,10
AMB:AV,ORGE_9d0aef27cbbd2ddc04c0,ambiguous_mention,1
AMB:AVEC PLEINS POUVOIRS,ORGE_85a458e0a1b5e64def94,ambiguous_mention,11
AMB:AVEC POUVOIRS PLUS ETENDUS,ORGE_e79d41a3a04b80455ac4,ambiguous_mention,179
AMB:AVEC TOUS POUVOIRS,ORGE_aacea2215725f33f9754,ambiguous_mention,17
AMB:AVEC TOUS POUVOIRS ENONCES AUX STATUTS,ORGE_e6a92a499dbaad59f43d,ambiguous_mention,13
AMB:AVIATION IT SERVICES AFRICA,ORGE_36c1705813ae1c22ee29,ambiguous_mention,5
AMB:AVICENE,ORGE_dcef69afa5ad2337b0b6,ambiguous_mention,3
AMB:AVICENE PRIVATE BUSINES SCHOOL APBS,ORGE_439ed069cee14f71d3ad,ambiguous_mention,1
AMB:AVICOLE CAP BON,ORGE_5d799c0efcd46abad0a7,ambiguous_mention,2
AMB:AVICOLE WAJBA S U A R L,ORGE_14fca53dc987e5a8b8a5,ambiguous_mention,2
AMB:AXIS CAPITAL,ORGE_3191482075c82534e1b1,ambiguous_mention,4
AMB:AXIS CAPITAL BOURSE,ORGE_69445b2e17671ca2cd0e,ambiguous_mention,3
AMB:AXONE,ORGE_5388d30b88c84eb44659,ambiguous_mention,1
AMB:AYA,ORGE_31f4e8a8cc90d64b4d19,ambiguous_mention,6
AMB:AZA COMERCE,ORGE_ad69dc4be1bd088d5d1f,ambiguous_mention,2
AMB:AZIZA SERVICES S A S,ORGE_81c8abcb5cd071e22be8,ambiguous_mention,1
AMB:AZUR,ORGE_4ef8c4bf4e64845dccd4,ambiguous_mention,2
AMB:AZUR COLORS,ORGE_c061bed0dde0a78a912c,ambiguous_mention,7
AMB:AZUR MEDICAL,ORGE_2a2b1c4c32e89759a49f,ambiguous_mention,1
AMB:AZUR PAPIER,ORGE_014880b1851893511648,ambiguous_mention,1
AMB:B,ORGE_fc7e25d4205e936d3295,ambiguous_mention,252
AMB:B V M,ORGE_c4d36c002392cec277d2,ambiguous_mention,7
AMB:BAB EL M'DINA,ORGE_b70d971b0c4836297499,ambiguous_mention,2
AMB:BABYLONE TRAVEL SERVICE,ORGE_b2a6681abe65965d555d,ambiguous_mention,4
AMB:BADR,ORGE_06b994551b6fedeba92c,ambiguous_mention,2
AMB:BAHGET ANWAR MAKA TOURS,ORGE_73f1cbf5f95ad63615d4,ambiguous_mention,2
AMB:BALNEAIRE HAMAMET SUD,ORGE_0453ffcdd16774ac273e,ambiguous_mention,4
AMB:BALNEO PLUS VITALITY,ORGE_c27cedbb68641cb68cb3,ambiguous_mention,2
AMB:BANQUE FINANCEMENT PETITES MOYENES ENTREPRISES,ORGE_872480824d23276b9667,ambiguous_mention,4
AMB:BANQUE FRANCO TUNISIENE,ORGE_94c1888f9d613c8a98ba,ambiguous_mention,3
AMB:BANQUE NATIONALE AGRICOLE CAPITAUX,ORGE_a6deeb5a056bbb7429a7,ambiguous_mention,5
AMB:BANQUE ZITOUNA,ORGE_aa32c45bb5582ccb7beb,ambiguous_mention,12
AMB:BAR SFAX,ORGE_d2ac3facef2efc49df84,ambiguous_mention,1
AMB:BARAKA,ORGE_145c77b2c5637da303a8,ambiguous_mention,2
AMB:BARAKA COMERCE,ORGE_79330705a2ff2d01f860,ambiguous_mention,1
AMB:BARAKA IMPORT EXPORT,ORGE_b314800c06edc2213133,ambiguous_mention,3
AMB:BARISTA'S,ORGE_32a0f56082f3fac34a03,ambiguous_mention,2
AMB:BASCO,ORGE_dbf903c5f5b0cdd96c45,ambiguous_mention,2
AMB:BATIC,ORGE_14858711638d9e2952dd,ambiguous_mention,2
AMB:BATIMA,ORGE_897aef35c679162c5ad6,ambiguous_mention,4
AMB:BATIMENT BAHA,ORGE_7cab4ecb396527552f1c,ambiguous_mention,2
AMB:BATIMENT TRAVAUX PUBLICS,ORGE_b2417d2624abfa80f870,ambiguous_mention,1
AMB:BATIMENTS CIVILS,ORGE_35332067509ddccc31fb,ambiguous_mention,1
