org_id,name_ar,name_fr,name_ijmes,gloss_tier,gloss_mode,name_translit,org_kind,n_ties,first_seen_entry
NEWS_DBYSH,الدبيش,La Dépêche,al-Dabish,romanised,conventional,ALDBYSH,newspaper,1,aalam:3.03
NEWS_FRNSA_ASLAMYH,فرنسا الإسلامية,France Islamique,Faransa al-Islamiyya,romanised,conventional,FRNSA ALSLAMY,newspaper,1,aalam:2.04
NEWS_JRYDH_ALAM,جريدة الإعلام,El Ilam,Jaridat al-Ilam,romanised,transliterated,JRYD ALLAM,newspaper,1,aalam:1.08
NEWS_JRYDH_AQDAM,جريدة الإقدام,El Ikdam,Jaridat al-Iqdam,romanised,transliterated,JRYD ALQDAM,newspaper,2,aalam:2.09
NEWS_JRYDH_BRHAN,جريدة البرهان,El Borhan,Jaridat al-Burhan,romanised,transliterated,JRYD ALBRHAN,newspaper,2,aalam:3.02
NEWS_JRYDH_HADRH,جريدة الحاضرة,El Hadhira,al-Hadira,verified,transliterated,JRYD ALHADR,newspaper,22,aalam:2.01
NEWS_JRYDH_LSAN_HQ,جريدة لسان الحق,Lissan El Hak,Jaridat Lisan al-Haqq,romanised,transliterated,JRYD LSAN ALHQ,newspaper,1,aalam:3.02
NEWS_JRYDH_MBSHR,جريدة المبشر,El Moubachir,Jaridat al-Mubashshir,romanised,transliterated,JRYD ALMBSHR,newspaper,1,aalam:3.02
NEWS_JRYDH_MNTZR,جريدة المنتظر,El Mountazar,Jaridat al-Muntazar,romanised,transliterated,JRYD ALMNTZR,newspaper,1,aalam:3.02
NEWS_JRYDH_NHDH,جريدة النهضة,En-Nahdha,al-Nahda,verified,transliterated,JRYD ALNHD,newspaper,3,aalam:3.02
NEWS_JRYDH_NTAJ_AKHBAR,جريدة نتائج الأخبار,Nataïj El Akhbar,Jaridat Nataij al-Akhbar,romanised,transliterated,JRYD NTAJ ALKHBAR,newspaper,2,aalam:3.02
NEWS_JRYDH_SHAHRAH,جريدة شاهراه,Chahrah,Jaridat Shahrah,romanised,transliterated,JRYD SHAHRAH,newspaper,2,aalam:2.05
NEWS_JRYDH_SWT_TWNSY,جريدة صوت التونسي,La Voix du Tunisien,Jaridat Sawt al-Tunisi,romanised,conventional,JRYD SWT ALTWNSY,newspaper,2,aalam:3.09
NEWS_JRYDH_TWNS,جريدة تونس,Tunis,Jaridat Tunis,romanised,transliterated,JRYD TWNS,newspaper,2,aalam:3.08
NEWS_JRYDH_TWNSY,جريدة التونسي,Et-Tounsi,al-Tunsi,verified,transliterated,JRYD ALTWNSY,newspaper,14,aalam:2.04
NEWS_JRYDH_TWNS_MSAYH,جريدة تونس المسائية,Tunis El Massaia,Jaridat Tunis al-Masaiyya,romanised,transliterated,JRYD TWNS ALMSAY,newspaper,1,aalam:2.15
NEWS_MJLH_ALM_ADBY,مجلة العالم الأدبي,El Alem El Adabi,Majallat al-Alam al-Adabi,romanised,transliterated,MJL ALALM ALDBY,newspaper,1,aalam:3.08
NEWS_ML_TWNSY,العمل التونسي,L'Action Tunisienne,al-Amal al-Tunisi,romanised,conventional,ALML ALTWNSY,newspaper,2,aalam:3.06
NEWS_MNARH,المنارة,El Menara,al-Manara,romanised,transliterated,ALMNAR,newspaper,1,aalam:3.06
NEWS_NSHRH_RBYH_LJRYDH_TWNSY,النشرة العربية لجريدة التونسي,En-Nachra El Arabia li Djaridet Ettounsi,al-Nashra al-Arabiyya li-Jaridat al-Tunisi,romanised,transliterated,ALNSHR ALRBY LJRYD ALTWNSY,newspaper,2,aalam:2.04
NEWS_RAD_TWNSY,الرائد التونسي,Er-Raïd Ettounsi,al-Raid al-Tunisi,romanised,transliterated,ALRAD ALTWNSY,newspaper,2,aalam:1.07
NEWS_RJAL_WWALM,رجال وعوالم,Ridjal oua Aoualem,Rijal wa Awalim,romanised,transliterated,RJAL WWALM,newspaper,1,aalam:3.06
NEWS_SHF_HZB_HR_DSTWRY_TWNSY,صحف الحزب الحر الدستوري التونسي,Journaux du Parti libre constitutionnel tunisien,Newspapers of the Tunisian Liberal Constitutional Party,romanised,translated,SHF ALHZB ALHR ALDSTWRY ALTWNSY,newspaper,1,aalam:3.09
NEWS_SWT_SHB,صوت الشعب,Saout Ech-Chaab,Sawt al-Shab,romanised,transliterated,SWT ALSHB,newspaper,1,aalam:3.06
NEWS_SWT_TWNSY,صوت التونسي,La Voix du Tunisien,Sawt al-Tunisi,romanised,conventional,SWT ALTWNSY,newspaper,1,aalam:3.06
NEWS_ZHRH,الزهرة,Ez-Zohra,al-Zahra,romanised,transliterated,ALZHR,newspaper,1,aalam:3.03
OFFICE_ADARH_JHAT,إدارة الجهات,Administration des régions,Administration of the regions,romanised,translated,DAR ALJHAT,office,1,aalam:1.02
OFFICE_ADARH_MTBH_RSMYH,إدارة المطبعة الرسمية,Direction de l'Imprimerie officielle,Directorship of the Official Printing Press,romanised,translated,DAR ALMTB ALRSMY,office,1,aalam:3.08
OFFICE_AGHA_MDYNH_QYSRLY,آغا مدينة قيصرلي,Agha de la ville de Kayseri,Agha of the city of Kayseri,romanised,translated,GHA MDYN QYSRLY,office,1,aalam:2.14
OFFICE_AMAMH_WKHTABH_JAM_SBHAN_LH,إمامة وخطابة جامع سبحان الله,Imamat et prédication à la mosquée Sobhan Allah,Imamate and preaching at the Subhan Allah mosque,romanised,translated,MAM WKHTAB JAM SBHAN ALLH,office,1,aalam:2.06
OFFICE_AMAM_KHTYB_BJAM_QSR,إمام خطيب بجامع القصر,Imam prédicateur à la mosquée El Ksar,Imam and preacher at the Qasr mosque,romanised,translated,MAM KHTYB BJAM ALQSR,office,2,aalam:3.11
OFFICE_AMARH,الإمارة,L'émirat,The emirate,romanised,translated,ALMAR,office,1,aalam:3.08
OFFICE_AML_BNZRT,عامل بنزرت,caïd de Bizerte,governor of Bizerte,romanised,translated,AML BNZRT,office,1,aalam:2.10
OFFICE_AML_QABS,عامل قابس,caïd de Gabès,governor of Gabes,romanised,translated,AML QABS,office,1,aalam:2.10
OFFICE_AML_WSLATYH,عامل الوسلاتية,caïd de Ouslatia,governor of Wislatiyya,romanised,translated,AML ALWSLATY,office,1,aalam:3.05
OFFICE_AMYN_AM_LLHZB_DSTWRY_JDYD,الأمين العام للحزب الدستوري الجديد,Secrétaire général du Parti libéral constitutionnel nouveau (Néo-Destour),Secretary-General of the New Constitutional Party (Neo-Destour),romanised,translated,ALMYN ALAM LLHZB ALDSTWRY ALJDYD,office,1,aalam:3.04
OFFICE_AMYN_AM_LLJNH_TNFYDHYH_LLHZB,الأمين العام للجنة التنفيذية للحزب,Secrétaire général du comité exécutif du parti,Secretary-General of the party's executive committee,romanised,translated,ALMYN ALAM LLJN ALTNFYDHY LLHZB,office,1,aalam:3.03
OFFICE_AMYN_MAL_JMYH_KHYRYH_ASLAMYH,أمين مال الجمعية الخيرية الإسلامية,Trésorier de l'Association islamique de bienfaisance,Treasurer of the Islamic Benevolent Association,romanised,translated,MYN MAL ALJMY ALKHYRY ALSLAMY,office,1,aalam:3.01
OFFICE_AMYN_SR_KHYR_DYN,أمين سر خير الدين,Secrétaire particulier de Khéredine,Private secretary to Khayr al-Din,romanised,translated,MYN SR KHYR ALDYN,office,1,aalam:2.01
OFFICE_AMYR_AMRA,أمير أمراء,Émir des émirs,Commander of commanders,romanised,translated,MYR MRA,office,2,aalam:1.06
OFFICE_AMYR_AY,أمير آلاي,Colonel,Colonel,romanised,translated,MYR LAY,office,1,aalam:1.07
OFFICE_AMYR_LWA,أمير لواء,Général de brigade,Brigadier general,romanised,translated,MYR LWA,office,1,aalam:1.06
OFFICE_ASHRAF_LY_DRWS_TRJMH_WALANSHA,الإشراف على دروس الترجمة والإنشاء,Direction des cours de traduction et de rédaction,Supervision of the translation and composition classes,romanised,translated,ALSHRAF L DRWS ALTRJM WALNSHA,office,1,aalam:2.07
OFFICE_BASH_MFTY,باش مفتي,Grand mufti,Chief mufti,romanised,translated,BASH MFTY,office,1,aalam:1.03
OFFICE_BASH_MFTY_KAF,باش مفتي الكاف,Grand mufti du Kef,Chief mufti of al-Kaf,romanised,translated,BASH MFTY ALKAF,office,1,aalam:1.04
OFFICE_DAY_TWNS,داي تونس,Dey de Tunis,Dey of Tunis,romanised,translated,DAY TWNS,office,1,aalam:1.01
OFFICE_KATB_BTHH_LMYH,كاتب البعثة العلمية,secrétaire de la Mission scientifique,secretary of the scientific mission,romanised,translated,KATB ALBTH ALLMY,office,1,aalam:2.01
OFFICE_KBYR_AHL_SHWRY,كبير أهل الشورى,chef des gens de la choura,head of the consultative council,romanised,translated,KBYR HL ALSHWR,office,2,aalam:1.04
OFFICE_KHTH_FTYA_MALKYH,خطة الفتيا المالكية,Charge de la fatwa malékite,Office of the Maliki muftiship,romanised,translated,KHT ALFTYA ALMALKY,office,1,aalam:2.06
OFFICE_KTABH,الكتابة,Le secrétariat,The secretaryship,romanised,translated,ALKTAB,office,1,aalam:1.06
OFFICE_MDRS,مدرس,professeur,teacher,romanised,translated,MDRS,office,1,aalam:3.12
OFFICE_MDRS_MN_TBQH_AWLY,مدرس من الطبقة الأولى,professeur de première classe,first-class teacher,romanised,translated,MDRS MN ALTBQ ALWL,office,1,aalam:1.08
OFFICE_MDRS_MN_TBQH_AWLY_BJAM_ZYTWNH,مدرس من الطبقة الأولى بجامع الزيتونة,professeur de première classe à la mosquée Zitouna,first-class teacher at the Zaytuna Mosque,romanised,translated,MDRS MN ALTBQ ALWL BJAM ALZYTWN,office,1,aalam:1.05
OFFICE_MDRS_MN_TBQH_THANYH,مدرس من الطبقة الثانية,professeur de deuxième classe,second-class teacher,romanised,translated,MDRS MN ALTBQ ALTHANY,office,1,aalam:1.08
OFFICE_MDYR_ADARH_GHABH,مدير إدارة الغابة,directeur de l'administration des Forêts,director of the forestry administration,romanised,translated,MDYR DAR ALGHAB,office,2,aalam:2.07
OFFICE_MDYR_FLAHH,مدير الفلاحة,directeur de l'Agriculture,director of agriculture,romanised,translated,MDYR ALFLAH,office,1,aalam:2.07
OFFICE_MDYR_MTBH_RSMYH,مدير المطبعة الرسمية,directeur de l'Imprimerie officielle,director of the official press,romanised,translated,MDYR ALMTB ALRSMY,office,2,aalam:2.10
OFFICE_MDYR_TSHRYFAT,مدير التشريفات,directeur du protocole,director of protocol,romanised,translated,MDYR ALTSHRYFAT,office,2,aalam:2.03
OFFICE_MDYR_TSHRYFAT_SNYH,مدير التشريفات السنية,directeur du protocole beylical,director of the beylical protocol,romanised,translated,MDYR ALTSHRYFAT ALSNY,office,1,aalam:3.05
OFFICE_MDYR_TSHRYFAT_SNYH_WALMTRJM_AWL_BALQSR_MLKY,مدير التشريفات السنية والمترجم الأول بالقصر الملكي,directeur du protocole beylical et premier interprète du palais royal,director of the beylical protocol and first interpreter at the royal palace,romanised,translated,MDYR ALTSHRYFAT ALSNY WALMTRJM ALWL BALQSR ALMLKY,office,1,aalam:2.10
OFFICE_MFTSH_TLYM_ABTDAY_RBY,مفتش التعليم الابتدائي العربي,inspecteur de l'enseignement primaire arabe,inspector of Arabic primary education,romanised,translated,MFTSH ALTLYM ALABTDAY ALRBY,office,2,aalam:2.15
OFFICE_MFTY_BALMJLS_SHRY,مفتي بالمجلس الشرعي,mufti au conseil charaïque,mufti of the sharia council,romanised,translated,MFTY BALMJLS ALSHRY,office,1,aalam:1.05
OFFICE_MFTY_DYAR_MSRYH,مفتي الديار المصرية,mufti d'Égypte,Mufti of Egypt,romanised,translated,MFTY ALDYAR ALMSRY,office,2,aalam:2.03
OFFICE_MHAM,محام,avocat,lawyer,romanised,translated,MHAM,office,1,aalam:2.08
OFFICE_MHNH_MHAMAH_LDY_MHAKM_TWNSYH,مهنة المحاماة لدى المحاكم التونسية,profession d'avocat auprès des tribunaux tunisiens,practice of law before the Tunisian courts,romanised,translated,MHN ALMHAMA LD ALMHAKM ALTWNSY,office,1,aalam:3.02
OFFICE_MLM_BALMDRSH,معلّم بالمدرسة,instituteur à l'école,teacher at the school,romanised,translated,MLM BALMDRS,office,1,aalam:2.07
OFFICE_MLM_BALMSTYR,معلم بالمستير,instituteur à Monastir,teacher at Monastir,romanised,translated,MLM BALMSTYR,office,1,aalam:3.03
OFFICE_MLM_BDAHYH_MRSY,معلم بضاحية المرسى,instituteur dans la banlieue de La Marsa,teacher in the suburb of La Marsa,romanised,translated,MLM BDAHY ALMRS,office,1,aalam:3.11
OFFICE_MNDWB_BMJLS_DWLH,مندوب بمجلس الدولة,délégué au Conseil d'État,delegate to the council of state,romanised,translated,MNDWB BMJLS ALDWL,office,1,aalam:2.05
OFFICE_MNSB_FY_DYWAN_RYS_HKWMH_TWNSYH,منصب في ديوان رئيس الحكومة التونسية,poste au cabinet du chef du gouvernement tunisien,post in the office of the head of the Tunisian government,romanised,translated,MNSB FY DYWAN RYS ALHKWM ALTWNSY,office,1,aalam:3.04
OFFICE_MNSB_FY_SLK_TDRYS,منصب في سلك التدريس,poste dans le corps enseignant,post in the teaching corps,romanised,translated,MNSB FY SLK ALTDRYS,office,1,aalam:3.01
OFFICE_MNSH_BALQSM_AWL_TAB_LLWZARH_KBRY,منشئ بالقسم الأول التابع للوزارة الكبرى,rédacteur à la première section du Grand Vizirat,drafter in the first section attached to the Grand Vizierate,romanised,translated,MNSH BALQSM ALWL ALTAB LLWZAR ALKBR,office,1,aalam:2.01
OFFICE_MQYM_AM,المقيم العام,Le Résident général,The Resident General,romanised,translated,ALMQYM ALAM,office,1,aalam:3.05
OFFICE_MQYM_AM_BTWNS,المقيم العام بتونس,Le Résident général à Tunis,The Resident General in Tunis,romanised,translated,ALMQYM ALAM BTWNS,office,1,aalam:2.09
OFFICE_MQYM_AM_FRNSY_BTWNS,المقيم العام الفرنسي بتونس,Le Résident général de France à Tunis,The French Resident General in Tunis,romanised,translated,ALMQYM ALAM ALFRNSY BTWNS,office,1,aalam:2.07
OFFICE_MQYM_AM_LFRNSA_BTWNS,مقيم عام لفرنسا بتونس,Résident général de France à Tunis,French resident general in Tunis,romanised,translated,MQYM AM LFRNSA BTWNS,office,2,aalam:3.11
OFFICE_MSHYKHH_ASLAM_MALKYH,مشيخة الإسلام المالكية,cheikhat de l'Islam malékite,office of the Maliki Shaykh al-Islam,romanised,translated,MSHYKH ALSLAM ALMALKY,office,1,aalam:2.06
OFFICE_MSTSHAR_BAY,مستشار الباي,conseiller du Bey,adviser to the Bey,romanised,translated,MSTSHAR ALBAY,office,1,aalam:1.02
OFFICE_MSTSHAR_HKWMH,مستشار الحكومة,conseiller du gouvernement,government adviser,romanised,translated,MSTSHAR ALHKWM,office,1,aalam:2.10
OFFICE_MTMD_SKRY_LDY_FYLQ_TWNSY,معتمد عسكري لدى الفيلق التونسي,commissaire militaire auprès du corps d'armée tunisien,military agent attached to the Tunisian corps,romanised,translated,MTMD SKRY LD ALFYLQ ALTWNSY,office,1,aalam:3.05
OFFICE_MTRJM_BADARH_FLAHH,مترجم بإدارة الفلاحة,interprète à la Direction de l'Agriculture,interpreter at the agriculture administration,romanised,translated,MTRJM BDAR ALFLAH,office,1,aalam:3.03
OFFICE_MTRJM_DLY,مترجم عدلي,interprète judiciaire,judicial interpreter,romanised,translated,MTRJM DLY,office,2,aalam:3.04
OFFICE_MTRJM_DLY_LDY_MHKMH_MKHTLTH_BTWNS,مترجم عدلي لدى المحكمة المختلطة بتونس,interprète judiciaire auprès du Tribunal mixte de Tunis,judicial interpreter at the mixed court in Tunis,romanised,translated,MTRJM DLY LD ALMHKM ALMKHTLT BTWNS,office,1,aalam:3.05
OFFICE_MTRJM_LDY_MSALH_DLYH,مترجم لدى المصالح العدلية,interprète auprès des services judiciaires,interpreter with the judicial services,romanised,translated,MTRJM LD ALMSALH ALDLY,office,1,aalam:2.01
OFFICE_MYD_HYH_MHAMYN,عميد هيئة المحامين,bâtonnier de l'ordre des avocats,president of the bar association,romanised,translated,MYD HY ALMHAMYN,office,1,aalam:3.06
OFFICE_MYN_HDRH_SLTANYH,معين الحضرة السلطانية,adjoint de la Cour sultanienne,assistant at the sultanic court,romanised,translated,MYN ALHDR ALSLTANY,office,1,aalam:2.09
OFFICE_NAB_RYS_JMYH_KHLDWNYH,نائب رئيس الجمعية الخلدونية,vice-président de la Khaldounia,vice-president of the Khalduniyya association,romanised,translated,NAB RYS ALJMY ALKHLDWNY,office,1,aalam:2.14
OFFICE_NAB_RYS_MJLS_AKBR,نائب رئيس المجلس الأكبر,vice-président du Grand Conseil,vice-president of the Grand Council,romanised,translated,NAB RYS ALMJLS ALKBR,office,1,aalam:1.06
OFFICE_QADY_ASMH_HNFY,قاضي العاصمة الحنفي,cadi hanéfite de la capitale,Hanafi judge of the capital,romanised,translated,QADY ALASM ALHNFY,office,1,aalam:3.01
OFFICE_QADY_BARDW,قاضي باردو,cadi du Bardo,judge of the Bardo,romanised,translated,QADY BARDW,office,1,aalam:1.05
OFFICE_QADY_HADRH_MALKY,قاضي الحاضرة المالكي,cadi malékite de la capitale,Maliki judge of the capital,romanised,translated,QADY ALHADR ALMALKY,office,1,aalam:3.10
OFFICE_QADY_JMAH,قاضي الجماعة,juge de la communauté,judge of the community,romanised,translated,QADY ALJMA,office,1,aalam:1.04
OFFICE_QAD_MALKY,قاض مالكي,juge malékite,Maliki judge,romanised,translated,QAD MALKY,office,1,aalam:3.12
OFFICE_QAYD,قايد,caïd,district governor,romanised,translated,QAYD,office,1,aalam:1.07
OFFICE_QDA_SHRY_BALKAF,القضاء الشرعي بالكاف,La justice charaïque au Kef,The sharia judiciary at al-Kaf,romanised,translated,ALQDA ALSHRY BALKAF,office,1,aalam:1.04
OFFICE_QYADH_JYSH,قيادة الجيش,commandement de l'armée,army command,romanised,translated,QYAD ALJYSH,office,1,aalam:1.02
OFFICE_QYADH_LWA,قيادة اللواء,commandement de la brigade,brigade command,romanised,translated,QYAD ALLWA,office,1,aalam:2.09
OFFICE_RASH_HKWMH_FRNSYH,رئاسة الحكومة الفرنسية,Présidence du gouvernement français,Presidency of the French government,romanised,translated,RAS ALHKWM ALFRNSY,office,1,aalam:3.04
OFFICE_RASH_JMYH_AWQAF,رئاسة جمعية الأوقاف,Présidence de l'Association des habous,Presidency of the Awqaf Association,romanised,translated,RAS JMY ALWQAF,office,1,aalam:2.10
OFFICE_RASH_MDHHB_MALKY,رئاسة المذهب المالكي,Présidence du rite malékite,Headship of the Maliki school,romanised,translated,RAS ALMDHHB ALMALKY,office,1,aalam:3.10
OFFICE_RASH_WZARH_TWNSYH,رئاسة الوزارة التونسية,Présidence du ministère tunisien,Presidency of the Tunisian ministry,romanised,translated,RAS ALWZAR ALTWNSY,office,1,aalam:3.04
OFFICE_RSH_HSYNY,العرش الحسيني,Le trône husseinite,The Husaynid throne,romanised,translated,ALRSH ALHSYNY,office,2,aalam:1.02
OFFICE_RSH_MMLKH_TWNSYH,عرش المملكة التونسية,Trône du Royaume de Tunisie,Throne of the Kingdom of Tunisia,verified,translated,RSH ALMMLK ALTWNSY,office,3,aalam:2.09
OFFICE_RTBH_AMYR_AY,رتبة أمير آلاي,Grade de colonel,Rank of colonel,romanised,translated,RTB MYR LAY,office,1,aalam:2.09
OFFICE_RTBH_AMYR_LWA,رتبة أمير لواء,Grade de général de brigade,Rank of brigadier general,romanised,translated,RTB MYR LWA,office,1,aalam:2.09
OFFICE_RTBH_BNBASHY,رتبة بنباشي,Grade de commandant,Rank of major,romanised,translated,RTB BNBASHY,office,1,aalam:2.09
OFFICE_RTBH_QAMQAM,رتبة قائمقام,Grade de lieutenant-colonel,Rank of lieutenant-colonel,romanised,translated,RTB QAMQAM,office,1,aalam:2.09
OFFICE_RTBH_YWZBASHY,رتبة يوزباشي,Grade de capitaine,Rank of captain,romanised,translated,RTB YWZBASHY,office,1,aalam:2.09
OFFICE_RYS_DARH_MHASBAT,رئيس دائرة المحاسبات,Président de la Cour des comptes,President of the Court of Accounts,romanised,translated,RYS DAR ALMHASBAT,office,1,aalam:3.01
OFFICE_RYS_JMHWRYH_FRNSYH,رئيس الجمهورية الفرنسية,Président de la République française,President of the French Republic,romanised,translated,RYS ALJMHWRY ALFRNSY,office,1,aalam:2.09
OFFICE_RYS_JMYH_AWQAF,رئيس جمعية الأوقاف,Président de l'Association des habous,President of the Awqaf Association,romanised,translated,RYS JMY ALWQAF,office,1,aalam:2.03
OFFICE_RYS_MJLS_AKBR,رئيس المجلس الأكبر,Président du Grand Conseil,President of the Grand Council,romanised,translated,RYS ALMJLS ALKBR,office,1,aalam:1.09
OFFICE_RYS_MJLS_RSH,رئيس مجلس العرش,Président du Conseil du Trône,President of the Throne Council,romanised,translated,RYS MJLS ALRSH,office,1,aalam:2.01
OFFICE_RYS_QSM_ANSHA_BADARH_MALYH,رئيس قسم الإنشاء بإدارة المالية,Chef du service de la rédaction à l'administration des finances,Head of the drafting section in the finance administration,romanised,translated,RYS QSM ALNSHA BDAR ALMALY,office,1,aalam:3.01
OFFICE_SAHB_TAB,صاحب الطابع,garde des Sceaux,keeper of the seal,romanised,translated,SAHB ALTAB,office,1,aalam:1.02
OFFICE_SDR_AZM,الصدر الأعظم,Grand Vizir,Grand Vizier,romanised,translated,ALSDR ALZM,office,2,aalam:2.05
OFFICE_SDR_AZM_LLDWLH_TRKYH,الصدر الأعظم للدولة التركية,Grand Vizir de l'État turc,Grand Vizier of the Turkish state,romanised,translated,ALSDR ALZM LLDWL ALTRKY,office,1,aalam:2.09
OFFICE_SHAHD_DL,شاهد عدل,notaire,notary witness,romanised,translated,SHAHD DL,office,1,aalam:1.06
OFFICE_SHYKH_ASLAM_HNFY,شيخ الإسلام الحنفي,Cheikh al-Islam hanéfite,Hanafi Shaykh al-Islam,romanised,translated,SHYKH ALSLAM ALHNFY,office,1,aalam:2.09
OFFICE_SHYKH_JAM_AZM,شيخ الجامع الأعظم,cheikh de la Grande Mosquée,shaykh of the Great Mosque,romanised,translated,SHYKH ALJAM ALZM,office,1,aalam:3.12
OFFICE_SHYKH_JAM_ZYTWNH,شيخ جامع الزيتونة,cheikh de la mosquée Zitouna,shaykh of the Zaytuna Mosque,romanised,translated,SHYKH JAM ALZYTWN,office,1,aalam:3.10
OFFICE_SHYKH_MDYNH_TWNS,شيخ مدينة تونس,cheikh de la ville de Tunis,shaykh of the city of Tunis,romanised,translated,SHYKH MDYN TWNS,office,1,aalam:2.13
OFFICE_SLK_TLYM,سلك التعليم,corps enseignant,teaching corps,romanised,translated,SLK ALTLYM,office,1,aalam:2.15
OFFICE_TDRYS_TARYKH,تدريس التاريخ,Enseignement de l'histoire,Teaching of history,romanised,translated,TDRYS ALTARYKH,office,1,aalam:2.09
OFFICE_TLYM,التعليم,L'enseignement,Teaching,romanised,translated,ALTLYM,office,1,aalam:2.07
OFFICE_WALY_BSWSH,والي بسوسة,gouverneur à Sousse,governor at Sousse,romanised,translated,WALY BSWS,office,1,aalam:2.03
OFFICE_WALY_SFAQS,والي صفاقس,gouverneur de Sfax,governor of Sfax,romanised,translated,WALY SFAQS,office,1,aalam:1.02
OFFICE_WALY_SWSH,والي سوسة,Gouverneur de Sousse,Governor of Sousse,verified,translated,WALY SWS,office,3,aalam:2.13
OFFICE_WKYL_MDRSH_SADQYH,وكيل المدرسة الصادقية,intendant du Collège Sadiki,administrator of the Sadiqi school,romanised,translated,WKYL ALMDRS ALSADQY,office,1,aalam:2.04
OFFICE_WLAYH_FLSTYN,ولاية فلسطين,province de Palestine,province of Palestine,romanised,translated,WLAY FLSTYN,office,2,aalam:2.09
OFFICE_WZARH_DL,وزارة العدل,Ministère de la Justice,Ministry of Justice,verified,translated,WZAR ALDL,office,6,aalam:2.09
