entry_uid,cohort,cohort_no,entry_no,name_ar,name_toc,birth_year,death_year,role_descriptor_ar,rank,folio_start,folio_end,pdf_page_start,pdf_page_end,n_pages,n_chars,text_sha1,header_name_agrees,needs_review,review_note,cohort_en,role_descriptor_en
aalam:2.06,التابعون,2,6,سالم بو حاجب,سالم بو حاجب,1827,1924,ْ للغوي والفيلسوف والمربي,,169,176,171,178,8,8924,078798a182caf1fcee5654f8f551df4ae572f34d,no,yes,"header reads '(1827 - 1924)', TOC reads 'سالم بو حاجب'",The followers,"The linguist, the philosopher and the educator"
aalam:2.07,التابعون,2,7,محمد الأصرم,محمد الأصرم,1858,1925,لقد كان المرحوم محمك الأصرم قوي البنية معتدل القامق ذا عيئين,,177,186,179,188,10,12509,aabf4291c6e61dc50ca1996048a71e21be331303,yes,,,The followers,"The late Muhammad al-Asram was of strong build, of middling height, with two eyes ..."
aalam:2.08,التابعون,2,8,أحمد الغطاس,أحمد الغطاس,1875,1926,المحامي والأديب والمفكم,,187,192,189,194,6,7306,f4425556ea79a2873b357bf4c78621de0ba61d44,no,yes,"header reads 'ْ (1875 - 1926)', TOC reads 'أحمد الغطاس'",The followers,"The lawyer, the man of letters and the thinker"
aalam:2.09,التابعون,2,9,طاهر باشا خير الدين,طاهر باشا خير الدين,1872,1937,القائد والمنظم ورجل الدولة,,193,224,195,226,32,43299,9a7579772ed756e69c6a9230409e2d24182f6edf,yes,,,The followers,"The commander, the organiser and the statesman"
aalam:2.10,التابعون,2,10,محمد بن الخوجة,محمد بن الخوجة,1869,1942,لقد حجرت العادة فى الامبراطورية العثمانية كما فى غيرها من الدول,,225,236,227,238,12,13965,8f1568a39f5e45e69ef5aaec586c7a8610a3dfa4,no,yes,"header reads ')1942 - 1869(', TOC reads 'محمد بن الخوجة'",The followers,"Custom in the Ottoman Empire, as in other states, had it that ..."
aalam:2.11,التابعون,2,11,مصطفى آغة,مصطفى آغة,1871,1946,الشاعر الفيلسوف,,237,242,239,244,6,7984,e87671d0274d5e85721b84557e6a4c59675d103a,yes,,,The followers,The philosopher-poet
aalam:2.12,التابعون,2,12,عبد السلام البكوش,عبد السلام البكوش,1871,1946,العالم اللغوي والشاعر,,243,252,245,254,10,14156,f08697bcf5bc870bb0e5c6feb0b1a89fc81ef9bc,no,yes,"header reads '(1871 - 1946)', TOC reads 'عبد السلام البكوش'",The followers,The linguist and the poet
aalam:2.13,التابعون,2,13,عبد الجليل الزاوش,عبد الجليل الزاوش,1873,1947,صاحب الإنجازات والصحافي,,253,270,255,272,18,24923,5175740b4b64c3ddaaaedcdabb44a93b770366d0,yes,,,The followers,The man of achievements and the journalist
aalam:2.14,التابعون,2,14,رشيد بن مصطفى,رشيد بن مصطفى,1876,1947,المهندس والمربي والباحث الموسيقي,,271,276,273,278,6,6704,b60e0e02c131d141a98e89b167585512d45ab9d6,yes,,,The followers,"The engineer, the educator and the scholar of music"
aalam:2.15,التابعون,2,15,الصادق التلاتلي,الصادق التلاتلي,1871,1950,المربي ورجل السياسة,,277,286,279,288,10,7262,aedc5d9441703542c4b03cef3cc08ba7154a330a,yes,,,The followers,The educator and the politician
aalam:3.01,المعاصرون,3,1,الطيب رضوان,الطيب رضوان,1869,1955,المدرس والمزارع ورجل العمل,,287,294,289,296,8,8742,02a12fa9ae88165bf3476805236ec5c100c5daf2,no,yes,"header reads '(1869 - 1955)', TOC reads 'الطيب رضوان'",The contemporaries,"The teacher, the farmer and the man of affairs"
aalam:3.02,المعاصرون,3,2,محمد بورقيبة,محمد بورقيبة,1882,1956,الصحافي ورجل السياسة,,295,300,297,302,6,6051,00a96c8d059512038e8cc1a36747fcc778493805,no,yes,"header reads '(1882 - 1956)', TOC reads 'محمد بورقيبة'",The contemporaries,The journalist and the politician
aalam:3.03,المعاصرون,3,3,حسونة العياشي,حسونة العياشي,1873,1958,المحامي والصحافي ورجل السياسة,,301,306,303,308,6,7758,f2c03bd93c076078aaeddda4cf39f44b8844e481,yes,,,The contemporaries,"The lawyer, the journalist and the politician"
aalam:3.04,المعاصرون,3,4,محمد السعيد الخلصي,محمد السعيد الخلصي,1898,1964,الشاعر والفناتن,,307,318,309,320,12,15555,dfe714bc9870ee5046fd8b50e30875ab931f63da,yes,,,The contemporaries,The poet and the artist
aalam:3.05,المعاصرون,3,5,خير الله بن مصطفى,خير الله بن مصطفى,1867,1965,مما لا شك فيه أن خير الله بن مصطفى أجنبيٌ الأصل. فقد ولد جدّه,,319,326,321,328,8,8149,a78b787be5c4020341518375c112e637c665ca80,yes,,,The contemporaries,There is no doubt that Khayr Allah Ibn Mustafa was of foreign origin. His grandfather was born ...
aalam:3.06,المعاصرون,3,6,علي بو حاجب,علي بو حاجب,1888,1965,الصحافى والباحث والمناضل,,327,332,329,334,6,8068,e8ffd5073d32894a039569dbe472d6aab2c06056,no,yes,"header reads '(1888 - 1965)', TOC reads 'علي بو حاجب'",The contemporaries,"The journalist, the scholar and the militant"
aalam:3.07,المعاصرون,3,7,حسن ڤلاتي,حسن ڤلاتي,1880,1966,المحامسي والمفكسر والسياسي,,333,340,335,342,8,9984,cbfb170d193bc6d9cbc2e52e8f1c84140fb635bf,no,yes,"header reads 'حسسن شلاتني', TOC reads 'حسن ڤلاتي'",The contemporaries,"The lawyer, the thinker and the politician"
aalam:3.08,المعاصرون,3,8,زين العابدين السنوسي,زين العابدين السنوسي,1898,1966,الرجل والكاتب والمناضل,,341,344,343,346,4,4468,3cda9d3cd095f53bde779f26311cd0ab932f3c62,no,yes,"header reads 'زين العابدين السنسوسي', TOC reads 'زين العابدين السنوسي'",The contemporaries,"The man, the writer and the militant"
aalam:3.09,المعاصرون,3,9,الشاذلي خير الله,الشاذلي خير الله,1898,1972,الرجل والكائتب والوطني,,345,348,347,350,4,3973,cb20081f02cd82d77cbdef75d5db45fbfe0dadd4,yes,,,The contemporaries,"The man, the writer and the patriot"
aalam:3.10,المعاصرون,3,10,محمد الفاضل بن عاشور,محمد الفاضل بن عاشور,1909,1970,رجل من رجال عصر النهضة,,349,354,351,356,6,7258,1a4aff8f4c701f8b041c2cdcd027fd9b7d350b78,yes,,,The contemporaries,A man of the Nahda
aalam:3.11,المعاصرون,3,11,محمود الماطري,محمود الماطري,1897,1972,الطبيب والمناضل,,355,360,357,362,6,7549,3075fe16213d7bea7532ca8806c4389bc1e486e4,no,yes,"header reads 'الدكتور محمود الماأضري', TOC reads 'محمود الماطري'",The contemporaries,The physician and the militant
aalam:3.12,المعاصرون,3,12,محمد الطاهر بن عاشور,محمد الطاهر بن عاشور,1879,1973,الرجل والقاضى والعلامة,,361,368,363,370,8,8493,b1f727c49cecf848d0c927507187377395773721,no,yes,"header reads 'الإمام الأكبر', TOC reads 'محمد الطاهر بن عاشور'",The contemporaries,"The man, the judge and the great scholar"
aalam:3.13,المعاصرون,3,13,الطاهر الخميري,الطاهر الخميري,1904,1973,الأديب والباحث والناقد الاجتماعى,,369,372,371,374,4,2519,70edddc62574a26a8d40aea6216b2693db37e892,yes,,,The contemporaries,"The man of letters, the scholar and the social critic"
aalam:3.14,المعاصرون,3,14,محمد الأمين الشابي,محمد الأمين الشابي,1917,1974,الأديبب والمفكر والمربى,,373,376,375,378,4,2593,c0d7befc79f333c13f6e4ed77b40aca400c82aa6,no,yes,"header reads 'محمد الأميسن الشسابسى', TOC reads 'محمد الأمين الشابي'",The contemporaries,"The man of letters, the thinker and the educator"
