person_id,name_ar,name_fr,name_ijmes,gloss_tier,gloss_mode,name_translit,is_subject,name_kind,entry_uid,cohort,cohort_en,birth_year,death_year,role_descriptor_ar,role_descriptor_en,rank,n_assertions,n_ties,first_seen_entry
PERSON_GHTAS_AHMD,أحمد الغطاس,Ahmed Ghattas,Ahmad al-Ghattas,verified,transliterated,AHMD GHTAS,yes,named,aalam:2.08,التابعون,The followers,1875,1926,المحامي والأديب والمفكم,"The lawyer, the man of letters and the thinker",,16,17,aalam:2.08
PERSON_HANBH_LY_BASH,علي باش حانبة,Ali Bach Hamba,Ali Bash Hanba,verified,transliterated,LY BASH HANBH,yes,named,aalam:2.04,التابعون,The followers,1876,1918,أنه لمن المؤسف حمّاً أن نلاحظ ما اكتنف روّادنا السابقين من نسيان»,It is truly to be regretted that we observe the oblivion enveloping our predecessors ...,,23,27,aalam:2.04
PERSON_HSYN,الجنرال حسين,Général Hussein,General Husayn,verified,transliterated,HSYN,yes,named,aalam:1.07,السابقون,The predecessors,,1887,الرجل والمواطن والدبلوماسي,"The man, the citizen and the diplomat",general,19,22,aalam:1.07
PERSON_KHAMS_MHMD_BYRM,محمد بيرم الخامس,Mohamed Bayram El Khames,Muhammad Bayram al-Khamis,verified,transliterated,MHMD BYRM KHAMS,yes,named,aalam:1.08,السابقون,The predecessors,1840,1889,المفكر والأديب والموُرّخ,"The thinker, the man of letters and the historian",,16,16,aalam:1.08
PERSON_KHLSY_MHMD_SYD,محمد السعيد الخلصي,Mohamed Said El Khalsi,Muhammad al-Said al-Khalsi,verified,transliterated,MHMD SYD KHLSY,yes,named,aalam:3.04,المعاصرون,The contemporaries,1898,1964,الشاعر والفناتن,The poet and the artist,,19,20,aalam:3.04
PERSON_KHMYRY_TAHR,الطاهر الخميري,Tahar Khemiri,al-Tahir al-Khumayri,verified,transliterated,TAHR KHMYRY,yes,named,aalam:3.13,المعاصرون,The contemporaries,1904,1973,الأديب والباحث والناقد الاجتماعى,"The man of letters, the scholar and the social critic",,10,10,aalam:3.13
PERSON_KHYRALDYN,الجنرال خير الدين,Général Khereddine,General Khayr al-Din,verified,transliterated,KHYRALDYN,yes,named,aalam:1.09,السابقون,The predecessors,1822,1890,الجندي والمصلح ورجلل الدولة,"The soldier, the reformer and the statesman",general,28,42,aalam:1.09
PERSON_KHYRALDYN_MHMD,محمد باي خير الدين,Mohamed Bey Khereddine,Muhammad Bay Khayr al-Din,verified,transliterated,MHMD KHYRALDYN,yes,named,aalam:2.05,التابعون,The followers,1872,1922,المفكر والمتصوّف,The thinker and the mystic,bey,16,19,aalam:2.05
PERSON_KHYRALDYN_TAHR,طاهر باشا خير الدين,Tahar Pacha Khereddine,Tahir Pasha Khayr al-Din,verified,transliterated,TAHR KHYRALDYN,yes,named,aalam:2.09,التابعون,The followers,1872,1937,القائد والمنظم ورجل الدولة,"The commander, the organiser and the statesman",pasha,34,36,aalam:2.09
PERSON_KHYRALLH_SHADHLY,الشاذلي خير الله,Chedly Kheirallah,al-Shadhili Khayr Allah,verified,transliterated,SHADHLY KHYRALLH,yes,named,aalam:3.09,المعاصرون,The contemporaries,1898,1972,الرجل والكائتب والوطني,"The man, the writer and the patriot",,16,17,aalam:3.09
PERSON_LATY_HSN,حسن ڤلاتي,Hassen Guellaty,Hasan Gallati,verified,transliterated,HSN LATY,yes,named,aalam:3.07,المعاصرون,The contemporaries,1880,1966,المحامسي والمفكسر والسياسي,"The lawyer, the thinker and the politician",,1,1,aalam:3.07
PERSON_MATRY_MHMWD,محمود الماطري,Mahmoud Materi,Mahmud al-Matri,verified,transliterated,MHMWD MATRY,yes,named,aalam:3.11,المعاصرون,The contemporaries,1897,1972,الطبيب والمناضل,The physician and the militant,,24,25,aalam:3.11
PERSON_MSTFY,مصطفى آغة,Mustapha Agha,Mustafa Agha,verified,transliterated,MSTFY,yes,named,aalam:2.11,التابعون,The followers,1871,1946,الشاعر الفيلسوف,The philosopher-poet,agha,18,23,aalam:2.11
PERSON_QABADW_MHMWD,محمود قابادو,Mahmoud Kabadou,Mahmud Qabadu,verified,transliterated,MHMWD QABADW,yes,named,aalam:1.05,السابقون,The predecessors,1812,1871,الشاعر والمتصوف والمربى,"The poet, the mystic and the educator",,12,16,aalam:1.05
PERSON_RDWAN_TYB,الطيب رضوان,Taïeb Radhouane,al-Tayyib Radwan,verified,transliterated,TYB RDWAN,yes,named,aalam:3.01,المعاصرون,The contemporaries,1869,1955,المدرس والمزارع ورجل العمل,"The teacher, the farmer and the man of affairs",,17,19,aalam:3.01
PERSON_RYAHY_ABRAHYM,إبراهيم الرياحي,Ibrahim Riahi,Ibrahim al-Riyahi,verified,transliterated,ABRAHYM RYAHY,yes,named,aalam:1.03,السابقون,The predecessors,1768,1850,الفقيه والرّحالة والدبلوماسى,"The jurist, the traveller and the diplomat",,11,17,aalam:1.03
PERSON_SFR_BSHYR,البشير صفر,Bechir Sfar,al-Bashir Safar,verified,transliterated,BSHYR SFR,yes,named,aalam:2.02,التابعون,The followers,1865,1917,المربي والموة ظف ا لكبيم,The educator and the senior official,,17,25,aalam:2.02
PERSON_SHABY_MHMD_AMYN,محمد الأمين الشابي,Mohamed El Amine Chabbi,Muhammad al-Amin al-Shabbi,verified,transliterated,MHMD AMYN SHABY,yes,named,aalam:3.14,المعاصرون,The contemporaries,1917,1974,الأديبب والمفكر والمربى,"The man of letters, the thinker and the educator",,9,9,aalam:3.14
PERSON_SNWSY_ZYNALABDYN,زين العابدين السنوسي,Zine El Abidine Snoussi,Zayn al-Abidin al-Sanusi,verified,transliterated,ZYNALABDYN SNWSY,yes,named,aalam:3.08,المعاصرون,The contemporaries,1898,1966,الرجل والكاتب والمناضل,"The man, the writer and the militant",,12,13,aalam:3.08
PERSON_TAB_YWSF_SAHB,يوسف صاحب الطابع,Youssef Sahib Ettabaa,Yusuf Sahib al-Tabi,verified,transliterated,YWSF SAHB TAB,yes,named,aalam:1.02,السابقون,The predecessors,1763,1815,لقد ولد يوسف صاحب الطابع بملدافيا (أو البغدان باللغة التركية) في,Yusuf Sahib al-Tabi was born in Moldavia (al-Boghdan in Turkish) in ...,,12,12,aalam:1.02
PERSON_THMANH_ZYZH,عزيزة عثمانة,Aziza Othmana,Aziza Uthmana,verified,transliterated,ZYZH THMANH,yes,named,aalam:1.01,السابقون,The predecessors,1606,1669,المحسئة والمنقفة,The benefactress and the cultivated woman,,4,5,aalam:1.01
PERSON_TLATLY_SADQ,الصادق التلاتلي,Sadok Tlatli,al-Sadiq al-Tlatli,verified,transliterated,SADQ TLATLY,yes,named,aalam:2.15,التابعون,The followers,1871,1950,المربي ورجل السياسة,The educator and the politician,,21,22,aalam:2.15
PERSON_WRDANY_LY,علي الورداني,Ali Ouardani,Ali al-Wardani,verified,transliterated,LY WRDANY,yes,named,aalam:2.01,التابعون,The followers,1861,1905,الفنان والعالم والشاعر,"The artist, the scholar and the poet",,14,15,aalam:2.01
PERSON_YASHY_HSWNH,حسونة العياشي,Hassouna Ayachi,Hasuna al-Ayashi,verified,transliterated,HSWNH YASHY,yes,named,aalam:3.03,المعاصرون,The contemporaries,1873,1958,المحامي والصحافي ورجل السياسة,"The lawyer, the journalist and the politician",,19,20,aalam:3.03
PERSON_ZAWSH_BDJLYL,عبد الجليل الزاوش,Abdeljelil Zaouche,Abd al-Jalil al-Zawush,verified,transliterated,BDJLYL ZAWSH,yes,named,aalam:2.13,التابعون,The followers,1873,1947,صاحب الإنجازات والصحافي,The man of achievements and the journalist,,35,40,aalam:2.13
PERSON_ABN_ALH,عائلة ابن الشيخ,La famille Ben Cheikh,The Ibn al-Shaykh family,romanised,translated,ALH ABN,no,named,,,,,,,,shaykh,0,1,aalam:2.03
PERSON_ABN_ASKNDR_DWMAS,الاسكندر دوماس الإبن,Alexandre Dumas fils,al-Iskandar Dumas al-Ibn,romanised,conventional,ASKNDR DWMAS ABN,no,named,,,,,,,,,1,1,aalam:3.04
PERSON_ABRAHYMY_AHMD_TALB,أحمد طالب الإبراهيمي,Ahmed Taleb Ibrahimi,Ahmad Talib al-Ibrahimi,romanised,transliterated,AHMD TALB ABRAHYMY,no,named,,,,,,,,,0,1,aalam:3.10
PERSON_ABRAHYM_HAFZ,حافظ إبراهيم,Hafez Ibrahim,Hafiz Ibrahim,romanised,transliterated,HAFZ ABRAHYM,no,named,,,,,,,,,0,1,aalam:2.12
PERSON_ABYHAJB_KHLYL,خليل بو حاجب,Khalil Bou Hajeb,Khalil Bu Hajib,romanised,transliterated,KHLYL ABYHAJB,no,named,,,,,,,,,1,2,aalam:2.03
PERSON_ABYHAJB_MR,عمر بو حاجب,Omar Bou Hajeb,Umar Bu Hajib,romanised,transliterated,MR ABYHAJB,no,named,,,,,,,,,1,1,aalam:2.03
PERSON_ABYHDY,الشيخ أبو الهدى,Le Cheikh Abou El Houda,al-Shaykh Abu al-Huda,romanised,transliterated,ABYHDY,no,named,,,,,,,,shaykh,0,1,aalam:3.02
PERSON_ABYTMAM,أبو تمام,Abou Tammam,Abu Tammam,romanised,transliterated,ABYTMAM,no,named,,,,,,,,,0,1,aalam:2.12
PERSON_ABY_AHMD,احمد الابي,Ahmed El Abi,Ahmad al-Abi,romanised,transliterated,AHMD ABY,no,named,,,,,,,,,0,1,aalam:1.04
PERSON_AFGHANY_JMAL_DYN,جمال الدين الأفغاني,Jamaleddine El Afghani,Jamal al-Din al-Afghani,romanised,transliterated,JMAL DYN AFGHANY,no,named,,,,,,,,,0,1,aalam:2.08
PERSON_AHMD_ABYBAS,أبو العباس أحمد,Abou El Abbas Ahmed,Abu al-Abbas Ahmad,romanised,transliterated,ABYBAS AHMD,no,named,,,,,,,,,1,2,aalam:1.01
PERSON_ASHRY,الأشعري,El Achari,al-Ashari,romanised,transliterated,ASHRY,no,named,,,,,,,,,0,1,aalam:2.12
PERSON_ASL_WALD_MHMD_BWRQYBH_TRKY,والد محمد بورقيبة التركي الأصل,"Le père de Mohamed Bourguiba, d'origine turque","The father of Muhammad Bourguiba, of Turkish origin",described,translated,WALD MHMD BWRQYBH TRKY ASL,no,described,,,,,,,,,0,1,aalam:3.02
PERSON_ASMH_FTAH_TWNSYH_MN_AYAN,فتاة تونسية من أعيان العاصمة,Une jeune Tunisienne issue des notables de la capitale,A Tunisian young woman from the notable families of the capital,romanised,translated,FTAH TWNSYH MN AYAN ASMH,no,named,,,,,,,,,0,1,aalam:2.08
PERSON_ASRM_ABNH,ابنة الأصرم,La fille d'El Asram,The daughter of al-Asram,described,translated,ABNH ASRM,no,described,,,,,,,,,0,1,aalam:3.01
PERSON_ASTNBWLY_MHMD_TRKY,محمد تركي الاسطنبولي,Mohamed Turki El Stamboli,Muhammad Turki al-Istanbuli,romanised,transliterated,MHMD TRKY ASTNBWLY,no,named,,,,,,,,,0,1,aalam:3.11
PERSON_ASWD_TAHR,الطاهر الأسود,Tahar El Assoued,al-Tahir al-Aswad,romanised,transliterated,TAHR ASWD,no,named,,,,,,,,,1,1,aalam:2.13
PERSON_AWLAR,أولار,Aulard,Awlar,romanised,conventional,AWLAR,no,named,,,,,,,,,0,1,aalam:2.13
PERSON_AWL_AHMD,أحمد باي الأول,Ahmed Bey El Aouel,Ahmad Bay al-Awwal,verified,transliterated,AHMD AWL,no,named,,,,,,,,bey,4,8,aalam:1.05
PERSON_AZM_SDR,الصدر الأعظم,Grand Vizir,Grand Vizier,romanised,translated,SDR AZM,no,named,,,,,,,,,1,1,aalam:2.01
PERSON_BAHY_AHMD,سيدي أحمد الباهي,Sidi Ahmed El Bahi,Sidi Ahmad al-Bahi,romanised,transliterated,AHMD BAHY,no,named,,,,,,,,,0,1,aalam:1.06
PERSON_BARWDY_MHMWD_SAMY,محمود سامي البارودي,Mahmoud Sami El Baroudi,Mahmud Sami al-Barudi,romanised,transliterated,MHMWD SAMY BARWDY,no,named,,,,,,,,,0,1,aalam:2.11
PERSON_BAY,الباي,Le Bey,The Bey,romanised,translated,BAY,no,named,,,,,,,,,0,2,aalam:3.07
PERSON_BDHMYD_SLTAN,السلطان عبد الحميد,Le sultan Abdelhamid,al-Sultan Abd al-Hamid,verified,transliterated,SLTAN BDHMYD,no,named,,,,,,,,,1,6,aalam:2.05
PERSON_BDH_MHMD,محمد عبده,Mohamed Abdou,Muhammad Abduh,verified,transliterated,MHMD BDH,no,named,,,,,,,,,5,6,aalam:2.03
PERSON_BDWHAB_HSN_HSNY,حسن حسني عبد الوهاب,Hassan Hosni Abdelwahab,Hasan Husni Abd al-Wahhab,verified,transliterated,HSN HSNY BDWHAB,no,named,,,,,,,,,5,6,aalam:1.01
PERSON_BHRY_MHMD,محمد البحري,Mohamed El Bahri,Muhammad al-Bahri,romanised,transliterated,MHMD BHRY,no,named,,,,,,,,,1,2,aalam:1.03
PERSON_BKWSH_MHMD,محمد البكوش,Mohamed El Bakkouche,Muhammad al-Bakkush,romanised,transliterated,MHMD BKWSH,no,named,,,,,,,,,0,1,aalam:2.06
PERSON_BLNSY_AMYR_AMRA,أمير الأمراء بلنسي,Amir El Oumara Belinsi,Amir al-Umara Balansi,romanised,transliterated,AMYR AMRA BLNSY,no,named,,,,,,,,,0,1,aalam:2.10
PERSON_BNAHMD_LY,علي بن احمد,Ali Ben Ahmed,Ali Ibn Ahmad,romanised,transliterated,LY BNAHMD,no,named,,,,,,,,,0,1,aalam:3.07
PERSON_BNASHWR_TAHR,الطاهر بن عاشور,Tahar Ben Achour,al-Tahir Ibn Ashur,verified,transliterated,TAHR BNASHWR,no,named,,,,,,,,,9,12,aalam:3.10
PERSON_BNASMAYL_MSTFY,مصطفى بن إسماعيل,Mustapha Ben Ismaïl,Mustafa Ibn Ismail,romanised,transliterated,MSTFY BNASMAYL,no,named,,,,,,,,,1,2,aalam:1.07
PERSON_BNKHLYFH_HRM_SALH,حرم صالح بن خليفة,Mme Salah Ben Khalifa,the wife of Salih Ibn Khalifa,verified,translated,HRM SALH BNKHLYFH,no,named,,,,,,,,,2,3,aalam:3.06
PERSON_BNKHLYFH_SALH,صالح بن خليفة,Salah Ben Khelifa,Salih Ibn Khalifa,romanised,transliterated,SALH BNKHLYFH,no,named,,,,,,,,,0,1,aalam:3.06
PERSON_BNKHWJH_BSHYR,البشير بن الخوجة,Bechir Ben Khoja,al-Bashir Ibn al-Khuja,verified,transliterated,BSHYR BNKHWJH,no,named,,,,,,,,,2,3,aalam:1.06
PERSON_BNKHWJH_SHYKH_ASLAM_MHMD,شيخ الإسلام محمد بن الخوجة,Cheikh El Islam Mohamed Ben El Khodja,Shaykh al-Islam Muhammad Ibn al-Khuja,romanised,transliterated,SHYKH ASLAM MHMD BNKHWJH,no,named,,,,,,,,,0,1,aalam:2.10
PERSON_BNLY_HSYN,حسين بن علي,Hussein Ben Ali,Husayn Ibn Ali,romanised,transliterated,HSYN BNLY,no,named,,,,,,,,,1,2,aalam:3.11
PERSON_BNMAR_TAHR,الطاهر بن عمار,Tahar Ben Ammar,al-Tahir Ibn Ammar,romanised,transliterated,TAHR BNMAR,no,named,,,,,,,,,2,2,aalam:2.09
PERSON_BNMLWKH_MHMD,محمد بن ملوكة,Mohamed Ben Mellouka,Muhammad Ibn Malluka,romanised,transliterated,MHMD BNMLWKH,no,named,,,,,,,,,0,1,aalam:2.06
PERSON_BNMSTFY_HMDH,حمدة بن مصطفى,Hamda Ben Mustapha,Hamda Ibn Mustafa,romanised,transliterated,HMDH BNMSTFY,no,named,,,,,,,,,0,1,aalam:2.14
PERSON_BNMSTFY_HSWNH,حسونة بن مصطفى,Hassouna Ben Mustapha,Hasuna Ibn Mustafa,verified,transliterated,HSWNH BNMSTFY,no,named,,,,,,,,,12,14,aalam:3.05
PERSON_BNMSTFY_JD_RSHYD,جد رشيد بن مصطفى,Le grand-père de Rachid Ben Mustapha,The grandfather of Rashid Ibn Mustafa,romanised,translated,JD RSHYD BNMSTFY,no,named,,,,,,,,,1,1,aalam:2.14
PERSON_BNMSTFY_SLYM,سليم بن مصطفى,Slim Ben Mustapha,Salim Ibn Mustafa,romanised,transliterated,SLYM BNMSTFY,no,named,,,,,,,,,1,1,aalam:2.14
PERSON_BNMSTFY_ZKRYA,زكرياء بن مصطفى,Zakaria Ben Mustapha,Zakariya Ibn Mustafa,romanised,transliterated,ZKRYA BNMSTFY,no,named,,,,,,,,,1,1,aalam:2.14
PERSON_BNMSWD_TAHR,الطاهر بن مسعود,Tahar Ben Massoud,al-Tahir Ibn Masud,romanised,transliterated,TAHR BNMSWD,no,named,,,,,,,,,0,1,aalam:1.04
PERSON_BNQFSYH_MR,عمر بن قفصية,Omar Ben Gafsia,Umar Ibn Qafsiyya,romanised,transliterated,MR BNQFSYH,no,named,,,,,,,,,1,1,aalam:3.02
PERSON_BNRSHD,ابن رشد,Ibn Rochd,Ibn Rushd,described,transliterated,BNRSHD,no,described,,,,,,,,,0,1,aalam:2.12
PERSON_BNRWMY,ابن الرومي,Ibn er-Roumi,Ibn al-Rumi,described,transliterated,BNRWMY,no,described,,,,,,,,,0,1,aalam:2.12
PERSON_BNSYNA,ابن سينا,Ibn Sina,Ibn Sina,described,transliterated,BNSYNA,no,described,,,,,,,,,0,1,aalam:2.12
PERSON_BNTAHR_AHMD,أحمد بن الطاهر,Ahmed Ben Tahar,Ahmad Ibn al-Tahir,romanised,transliterated,AHMD BNTAHR,no,named,,,,,,,,,0,1,aalam:1.05
PERSON_BNYWSF_MHMD_SGHYR,محمد الصغير بن يوسف,Mohamed Es-Seghir Ben Youssef,Muhammad al-Saghir Ibn Yusuf,romanised,transliterated,MHMD SGHYR BNYWSF,no,named,,,,,,,,,1,1,aalam:2.07
PERSON_BNYWSF_SALH,صالح بن يوسف,Salah Ben Youssef,Salih Ibn Yusuf,romanised,transliterated,SALH BNYWSF,no,named,,,,,,,,,2,2,aalam:3.04
PERSON_BRHAN_JRYDH,جريدة البرهان,El Borhan,Jaridat al-Burhan,romanised,transliterated,JRYDH BRHAN,no,named,,,,,,,,,1,1,aalam:3.02
PERSON_BRWZWN,الدكتور بروزون,Le Docteur Brouzon,al-Duktur Bruzun,romanised,transliterated,BRWZWN,no,named,,,,,,,,,0,1,aalam:2.04
PERSON_BSHYR,البشير باي,Béchir Bey,al-Bashir Bay,romanised,transliterated,BSHYR,no,named,,,,,,,,bey,0,1,aalam:3.05
PERSON_BSYS_MHMD_SADQ,محمد الصادق بسيس,Mohamed Es-Sadok Bsis,Muhammad al-Sadiq Bsis,romanised,transliterated,MHMD SADQ BSYS,no,named,,,,,,,,,1,1,aalam:3.05
PERSON_BTHH_RYS,رئيس البعثة,Chef de la mission,Head of the mission,romanised,translated,RYS BTHH,no,named,,,,,,,,,0,1,aalam:2.01
PERSON_BWANKARY,بوانكاري,Poincaré,Bwankari,romanised,transliterated,BWANKARY,no,named,,,,,,,,,0,1,aalam:2.13
PERSON_BWASY,بواسي,Boissy,Buwasi,romanised,transliterated,BWASY,no,named,,,,,,,,,0,1,aalam:2.13
PERSON_BWHAJB_KHALD,خالد بوحاجب,Khaled Bouhajeb,Khalid Buhajib,romanised,transliterated,KHALD BWHAJB,no,named,,,,,,,,,2,2,aalam:3.06
PERSON_BWHAJB_KHLYL,خليل بوحاجب,Khelil Bou Hajeb,Khalil Bu Hajib,verified,transliterated,KHLYL BWHAJB,no,named,,,,,,,,,2,3,aalam:3.06
PERSON_BWHAJB_LY,علي بوحاجب,Ali Bou Hajeb,Ali Bu Hajib,verified,transliterated,LY BWHAJB,no,named,,,,,,,,,14,16,aalam:3.06
PERSON_BWRD_BWL,بول بورد,Paul Bourde,Bul Burd,romanised,transliterated,BWL BWRD,no,named,,,,,,,,,1,2,aalam:2.07
PERSON_BWRQYBH_HBYB,الحبيب بورقيبة,Habib Bourguiba,al-Habib Burquiba,verified,transliterated,HBYB BWRQYBH,no,named,,,,,,,,,8,14,aalam:2.07
PERSON_BWTRW,بوترو,Boutroux,Butru,romanised,conventional,BWTRW,no,named,,,,,,,,,0,1,aalam:2.13
PERSON_BWTWR_MHMD_ZYZ,محمد العزيز بوعتور,Mohamed Aziz Bouattour,Muhammad al-Aziz Buattur,verified,transliterated,MHMD ZYZ BWTWR,no,named,,,,,,,,,1,3,aalam:3.10
PERSON_BYATRA,الأستاذ بياترا,El Oustadh Piatra,al-Ustadh Biatra,romanised,transliterated,BYATRA,no,named,,,,,,,,,0,1,aalam:2.13
PERSON_BYRM_AHMD,أحمد بيرم,Ahmed Bayram,Ahmad Bayram,verified,transliterated,AHMD BYRM,no,named,,,,,,,,,1,3,aalam:2.09
PERSON_BYRM_MHMD,محمد بيرم,Mohamed Bayram,Muhammad Bayram,verified,transliterated,MHMD BYRM,no,named,,,,,,,,,1,3,aalam:2.06
PERSON_BYRWTWN_MARSAL,مارسال بيروتون,Marcel Peyrouton,Marsal Birutun,verified,transliterated,MARSAL BYRWTWN,no,named,,,,,,,,,3,5,aalam:3.11
PERSON_BYRWTWN_MQYM_AM,المقيم العام بيروطون,El Moukim El Am Peyrouton,al-Muqim al-Am Bayrutun,romanised,transliterated,MQYM AM BYRWTWN,no,named,,,,,,,,,0,1,aalam:2.15
PERSON_DAR_MHMD_KHZNH,محمد خزنة دار,Mohamed Khaznadar,Muhammad Khaznadar,romanised,transliterated,MHMD KHZNH DAR,no,named,,,,,,,,,1,1,aalam:1.08
PERSON_DAR_MSTFY_KHZNH,مصطفى خزنه دار,Mustapha Khazneh Dar,Mustafa Khaznah Dar,romanised,transliterated,MSTFY KHZNH DAR,no,named,,,,,,,,,0,2,aalam:1.09
PERSON_DAY_THMAN,عثمان داي,Othman Dey,Uthman Day,romanised,transliterated,THMAN DAY,no,named,,,,,,,,,1,2,aalam:1.01
PERSON_DBAB_MHMD,محمد دباب,Mohamed Debbab,Muhammad Dabbab,romanised,transliterated,MHMD DBAB,no,named,,,,,,,,,1,1,aalam:3.03
PERSON_DGHSTANY_SHRF_DYN,شرف الدين الدغستاني,Charfeddine Ed-Daghestani,Sharaf al-Din al-Daghistani,romanised,transliterated,SHRF DYN DGHSTANY,no,named,,,,,,,,,0,1,aalam:2.05
PERSON_DWRKAYM_AMYL,إميل دوركايم,Émile Durkheim,Imil Durkaym,romanised,conventional,AMYL DWRKAYM,no,named,,,,,,,,,0,1,aalam:2.13
PERSON_DYNAR_BNABY,ابن أبي دينار,Ibn Abi Dinar,Ibn Abi Dinar,described,transliterated,BNABY DYNAR,no,described,,,,,,,,,1,1,aalam:1.01
PERSON_DYN_SLTAN_WHYD,السلطان وحيد الدين,Le Sultan Wahid Eddine,al-Sultan Wahid al-Din,romanised,transliterated,SLTAN WHYD DYN,no,named,,,,,,,,,0,2,aalam:2.09
PERSON_FATMH,فاطمة,Fatma,Fatima,romanised,transliterated,FATMH,no,named,,,,,,,,,1,1,aalam:1.01
PERSON_FRANS_BYAR_MNDAS,بيار منداس فرانس,Pierre Mendès France,Biyar Mandas Frans,romanised,transliterated,BYAR MNDAS FRANS,no,named,,,,,,,,,1,1,aalam:3.04
PERSON_FRHAT_SALH,صالح فرحات,Salah Farhat,Salih Farhat,verified,transliterated,SALH FRHAT,no,named,,,,,,,,,2,3,aalam:2.13
PERSON_FRYD_DAMAD,الداماد فريد باشا,Damad Férid Pacha,al-Damad Farid Pasha,romanised,transliterated,DAMAD FRYD,no,named,,,,,,,,pasha,2,2,aalam:2.09
